药品名称,适应症,参考价
云南白药酊,活血散瘀，消肿止痛。用于跌打...,￥40.8
氨咖麻敏胶囊,用于解除或减轻由感冒引起的发...,￥7.6
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥17.6
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥18
麝香海马追风膏,驱风散寒，活血止痛。用于风寒...,￥73.4
小儿布洛伪麻分散片,暂时缓解儿童的感冒、鼻窦和流...,
布洛芬干混悬剂,用于缓解轻至中度疼痛如头痛、...,￥8.5
布洛芬泡腾片,用于减轻轻度至中度疼痛，如关...,
萘普生钠片,于缓解轻至中度疼痛，如关节痛...,￥15
对乙酰氨基酚,解热镇痛类药，用于发热、头痛...,
风油精,消炎、镇痛，清凉、止痒，驱风...,
伤痛宁膏,活血散瘀，消肿止痛。用于关节...,￥15.5
根痛平片,活血、通络、止痛。用于风寒阻...,￥17.1
天麻胶囊,祛风除湿，舒筋通络，活血止痛...,￥19.4
感冒清热胶囊,疏风散寒，解表清热。用于风寒...,￥12.8
元胡止痛片,理气，活血，止痛。用于行经腹...,￥5
烧烫伤膏,清热解毒，消肿止痛。用于轻度...,￥20.2
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,￥30.2
黄连上清片,清热通便，散风止痛。用于内热...,￥5
茶苯海明片,防治晕动病，适用于防治晕动时...,￥2.6
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥12.5
人参天麻药酒,益气活血，舒筋止痛。用于各种...,
双氯芬酸钠缓释胶囊,"用于：
① 缓解类风湿关节炎、...",￥18.5
布洛芬缓释片,用于减轻中度疼痛，如关节痛、...,
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥5.7
三七片,用于外伤出血，跌扑肿痛。,￥8
创灼膏,拔毒生肌。用于轻度水火烫伤，...,￥15.5
一清颗粒,清热泻火解毒。用于火毒血热所...,￥12.9
萘丁美酮片,类风湿性关节炎、骨关节炎。,
丁硼乳膏,有消炎止痛作用。适用于急慢性...,￥21.4
创灼膏,拔毒生肌。用于轻度水火烫伤，...,￥24
麝香追风膏,祛风散寒，活血止痛。用于风湿...,￥8
阿咖酚散,用于感冒或流感引起的发热、头...,￥0.2
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,￥5.6
氨金黄敏颗粒,用于缓解普通感冒或流行性感冒...,￥5.2
葡萄糖酸氯己定软膏,用于轻度小面积烧伤、烫伤、外...,￥16.5
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥13
贝诺酯片,用于发热、头痛、神经痛、牙痛...,￥3.8
布洛伪麻分散片,用于缓解普通感冒、流行性感冒...,
三七片,用于外伤出血，跌扑肿痛。,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥18.8
颈痛灵药酒,滋补肝肾，活络止痛。用于各种...,￥34.2
精制银翘解毒片,清热散风，解表退烧。用于流行...,￥13
感冒水,散风解热。用于外感风寒引起的...,￥12.4
萘普生缓释片,用于缓解轻至中度疼痛，如关节...,￥16
红药片,活血止痛，去瘀生新，用于跌打...,￥12
萘丁美酮片,类风湿性关节炎、骨关节炎。,
正红花油,适应症：本品祛风止痛。可用于...,￥8
风湿液,补养肝肾，养血通络，祛风除湿...,￥38
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,￥4
风湿止痛丸,祛风除湿，活血止痛。用于四肢...,
独活寄生合剂,养血舒筋，祛风除湿。用于风寒...,￥19
雪域牌雪域骨宝胶囊,增加骨密度,￥258
樟脑醑,用于瘙痒性皮肤病，纤维组织炎...,
萘普生缓释片,适用于缓解轻度至中度疼痛。用...,
双氯芬酸钾凝胶,用于各种急性骨骼肌损伤的急慢...,￥18
上清丸,清热散风，解毒，通便。用于头...,
根痛平片,活血、通络、止痛。用于风寒阻...,￥8
清胃黄连片,清胃泻火，解毒消肿。用于口舌...,￥7.8
精制银翘解毒片,清热散风，解表退烧。用于流行...,￥6.3
葡萄糖酸氯己定软膏,用于轻度小面积烧伤、烫伤、外...,￥15
双氯芬酸钠凝胶,用于缓解局部轻至中度疼痛，如...,￥22
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥2
布洛伪麻分散片,用于缓解普通感冒、流行性感冒...,￥12
塞隆风湿酒,祛风散寒除湿，通络止痛，补益...,￥129.2
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥8
小儿氨酚黄那敏颗粒,适用于缓解儿童普通感冒及流行...,￥6.8
颈通颗粒,补益气血，活血化瘀，散风利湿...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,￥3.3
阿司匹林散,小儿感冒或流行性感冒引起的发...,
布洛芬片,用于缓解轻至中度疼痛如头痛、...,￥4.8
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥23.4
布洛伪麻片,用于感冒，急性鼻炎，急性鼻窦...,
复方氢溴酸东莨菪碱贴膏,用于防治乘车、船和飞机引起的...,￥12.5
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,￥10.4
克伤痛搽剂,活血化瘀，消肿止痛。用于急性...,￥8.3
烧伤净喷雾剂,解毒止痛，利湿消肿。用于轻度...,￥44
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥5.5
蜂胶牙痛酊,止痛、止血。用于牙周炎症的辅...,￥15
对乙酰氨基酚栓,用于儿童普通感冒或流行性感冒...,￥3.3
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥28.5
舒筋活络酒,祛风除湿，活血通络，养阴生津...,￥24.5
愈伤灵胶囊,活血散瘀，消肿止痛。用于跌打...,￥27.8
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥6.5
贝诺酯分散片,用于普通感冒或流行性感冒引起...,￥10
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
阿司匹林维生素C咀嚼片,用于感冒或流感引起的发热、头...,￥19
萘普生钠片,用于缓解轻至中度疼痛，如关节...,￥10
红药片,活血止痛，去瘀生新，用于跌打...,
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥9.2
桂附地黄丸(浓缩丸),温补肾阳。用于肾阳不足，腰膝...,￥17
西地碘含片,用于慢性咽喉炎、口腔溃疡、慢...,￥4.6
解痉镇痛酊,活血通经、止痛。用于治疗软组...,￥8.9
神农镇痛膏,活血散瘀，消肿止痛。用于跌打...,￥64.5
天麻祛风补片,温肾养肝，除湿止痛。用于肝肾...,￥44
三黄片,清热解毒，泻火通便。用于三焦...,￥3.7
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,￥4.5
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥7.4
风痛灵小盒,活血散瘀，消肿止痛。用于扭挫...,￥18.5
复方氯唑沙宗片,本品适用于各种急性、慢性软组...,￥13
复方阿司匹林双层片,用于普通感冒或流行性感冒引起...,￥30.8
贝诺酯颗粒,用于急慢性风湿性关节炎、类风...,￥9.4
尼美舒利颗粒,1.本品为非甾体抗炎药，具有抗...,￥9.8
创伤止痛乳膏,舒筋活血，消肿止痛。用于跌打...,
清火片,清热泻火，通便。用于咽喉肿痛...,￥15
天麻片,祛风除湿，舒筋通络，活血止痛...,
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥9.4
解痉镇痛酊,活血通经、止痛。用于治疗软组...,￥3.8
驱风油,活血止痛。用于关节痛。,￥19.5
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥11.2
麝香跌打风湿膏,祛风除湿，化瘀止痛。用于风湿...,￥12.5
双氯芬酸钠肠溶片,用于：①缓解类风湿关节炎、骨...,￥22.2
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
复方金银花颗粒,清热解毒，凉血消肿。用于风热...,￥14.2
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥15.2
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥18.2
贝诺酯片,用于发热、头痛、神经痛、牙痛...,￥15
氯唑沙宗胶囊,本品适用于各种急性、慢性软组...,￥13
双氯芬酸钠肠溶缓释胶囊,用于：1.缓解类风湿关节炎、骨...,￥11.9
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,￥20.5
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥10
伤痛克酊,中医：消肿止痛，收敛止血。用...,￥35
元胡止痛片,理气，活血，止痛。用于行经腹...,￥2.2
黄连上清片,清热通便，散风止痛。用于内热...,￥6
清肺抑火片,清肺止嗽，降火生津。用于肺热...,￥7.5
骨肽注射液,适用于促进骨折愈合。,￥17.9
骨肽注射液,适用于促进骨折愈合。,￥79
清胃黄连丸,清胃泻火，解毒消肿。用于肺胃...,￥18.8
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥13
麝香活血化瘀膏,活血化瘀，消炎止痛。用于关节...,￥125
活血止痛片,活血散瘀，消肿止痛。用于跌打...,￥17.2
小儿氨酚黄那敏颗粒,适用于缓解儿童普通感冒及流行...,￥18
氨酚伪麻那敏胶囊,用于感冒引起的各种症状：发热...,
萘普生钠胶囊,用于治疗风湿性和类风湿性关节...,
新清宁片,清热解毒，泻火通便。用于内结...,￥26
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥1
驱风油,活血止痛。用于关节痛。,￥7.1
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥10.8
清火片,清热泻火，通便。用于咽喉肿痛...,￥11.9
上清片,清热散风，解毒通便。用于风热...,￥15
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,￥8.4
骨肽注射液,适用于促进骨折愈合。,￥9.8
筋骨伤喷雾剂,活血化瘀，消肿止痛。用于软组...,￥49
麝香舒活灵,活血化瘀，消肿止痛，舒筋活络...,￥12
聚维酮碘溶液,用于化脓性皮炎、皮肤真菌感染...,￥15.8
云南白药气雾剂,活血散瘀，消肿止痛。用于跌打...,
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥12
金花跌打酊,暂无数据,￥29
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥17.9
阿司匹林散,小儿感冒或流行性感冒引起的发...,
林可霉素利多卡因凝胶,用于轻度烧伤、创伤及蚊虫叮咬...,￥2.4
卡巴匹林钙颗粒,疼痛和发热性疾病的对症治a用...,￥22.9
祖师麻关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥4.6
白花油,疏风止痒，理气止痛，消疲提神...,￥5
贝诺酯片,用于发热、头痛、神经痛、牙痛...,￥13
红药片,活血止痛，去瘀生新，用于跌打...,￥9.2
清开灵胶囊,清热解毒，镇静安神。用于外感...,￥7
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥18
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥12.2
骨肽注射液,适用于促进骨折愈合。,
坤宝丸,滋补肝肾，镇静安神，养血通络...,￥8.3
萘普生片,用于治疗风湿性和类风湿性关节...,￥4.8
骨友灵巴布膏,活血化瘀，消肿止痛。用于软组...,￥18
双氯芬酸钾凝胶,用于各种急性骨骼肌损伤的急慢...,￥8
盐酸苯海拉明片,用于皮肤黏膜的过敏，如荨麻疹...,
苯佐卡因,用于创面、溃疡面及痔疮的镇痛...,
对乙酰氨基酚糖浆,用于普通感冒或流行性感冒引起...,￥12
酮洛芬凝胶,用于各种关节炎及软组织疾病所...,￥47.5
复方氨酚烷胺片,用于缓解普通感冒或流行性感冒...,
关节止痛膏,本品活血散瘀，温经镇痛。用于...,￥28
抗菌消炎片,清热，泻火，解毒。用于风热感...,￥9
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥9
天麻片,祛风除湿，舒筋通络，活血止痛...,￥10
元胡止痛片,理气，活血，止痛。用于行经腹...,￥5
三黄片,清热解毒，泻火通便。用于三焦...,￥4
清火片,清热泻火，通便。用于咽喉肿痛...,￥5.4
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥3.6
清火片,清热泻火，通便。用于咽喉肿痛...,￥13.5
双料喉风含片,清热解毒，消肿利咽。用于肺胃...,￥5.5
木瓜酒,1.脚气。男女干湿脚气，腿脚沉...,
阿司匹林片,用于普通感冒或流行性感冒引起...,
布洛芬糖浆,用于缓解感冒或流感引起的发热...,
跌打活血散,舒筋活血，散瘀止痛。用于跌打...,
三七胶囊,散瘀止血，消肿定痛。用于外伤...,
阿咖酚散,用于感冒或流感引起的发热、头...,￥5
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥8
狗皮膏,祛风散寒，活血止痛。用于风寒...,
上清片,清热散风，解毒通便。用于风热...,￥45.7
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥7.8
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥3.7
复方对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,￥5
消肿镇痛膏,理气活血，消肿止痛。主治跌打...,￥45
舒筋定痛片,活血散瘀，消肿止痛。用于跌打...,￥10
烧伤肤康液,清热解毒，收敛止痛，保护创面...,￥16.5
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥5.8
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥11.5
辣椒颠茄贴膏,用于关节疼痛、骨骼肌疼痛以及...,￥12.5
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥2.8
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥12.7
复方牛黄清胃丸,清热通便。用于胃肠实热引起：...,
贝诺酯片,用于发热、头痛、神经痛、牙痛...,
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥2.9
麝香祛风湿膏,祛风湿，活血，镇痛，消肿。用...,￥10.8
麝香追风膏,祛风散寒，活血止痛。用于风湿...,￥128
清火片,清热泻火，通便。用于咽喉肿痛...,￥7.5
对乙酰氨基酚口服溶液,用于普通感冒或流行性感冒引起...,￥8
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,￥2.2
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥8
萘普生片,用于治疗风湿性和类风湿性关节...,￥4.6
麝香祛风湿膏,祛风湿，活血，镇痛，消肿。用...,￥14
牛黄上清丸,清热泻火，散风止痛。用于头痛...,￥11.2
活络止痛丸,活血舒筋，驱风除湿。用于风湿...,￥35
对乙酰氨基酚溶液,用于儿童普通感冒或流行性感冒...,
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,
酮洛芬胶囊,用于缓解轻至中度疼痛，如关节...,￥4.7
白花油,疏风止痒，理气止痛，消疲提神...,￥9.5
辣椒风湿膏,祛风散寒，舒筋活络，消肿止痛...,￥12.5
伤痛宁膏,活血散瘀，消肿止痛。用于关节...,￥8.5
麝香祛风湿油,驱风活血、镇痛消肿。用于风湿...,￥7.5
竭红跌打酊,散瘀消肿，活络止痛。用于跌伤...,￥25.8
清火片,清热泻火，通便。用于咽喉肿痛...,￥2.7
一清颗粒,清热泻火解毒。用于火毒血热所...,￥15.5
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥11
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
红药片,活血止痛，去瘀生新，用于跌打...,￥36.8
天麻胶囊,祛风除湿，舒筋通络，活血止痛...,￥6.9
外伤如意膏,清热解毒，凉血散瘀，消肿止痛...,￥9.5
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥7.5
萘普生钠胶囊,用于治疗风湿性和类风湿性关节...,
阿司匹林维C肠溶片,用于普通感冒或流行性感冒引起...,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥11.4
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥7.6
双氯芬酸钾片,1．有胃肠道疾病、胃肠道溃疡...,￥6.5
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,
天麻片,祛风除湿，舒筋通络，活血止痛...,￥11
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥12
元胡止痛片,理气，活血，止痛。用于行经腹...,￥9.9
复方氨酚烷胺胶囊,用于缓解普通感冒或流行性感冒...,￥7.8
萘普生栓,用于治疗风湿性和类风湿性关节...,￥4.4
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥1.8
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,￥2.8
跌打损伤丸,行气活血，舒筋止痛。用于跌打...,
正伤消痛膏,暂无数据,￥62.5
萘丁美酮胶囊,1.各种急、慢性炎性关节炎：类...,￥14.9
人工牛黄甲硝唑胶囊,用于急性智齿冠周炎、局部牙槽...,￥6.5
四季平安油,用于头晕头痛，腰酸背痛，风火...,￥8
氨基比林咖啡因片,用于缓解感冒、上呼吸道感染引...,￥4.8
白花油,疏风止痒，理气止痛，消疲提神...,￥3.5
白花油,疏风止痒，理气止痛，消疲提神...,￥4
红药片,活血止痛，去瘀生新，用于跌打...,￥11
小儿氨酚黄那敏片,适用于缓解儿童普通感冒及流行...,￥1.6
抗菌消炎片,清热、泻火、解毒。用于风热感...,￥5
三七胶囊,散瘀止血，消肿定痛。用于外伤...,￥7.8
麝香镇痛膏,散寒，活血，镇痛。用于风湿性...,￥26.6
牛黄上清丸,清热泻火，散风止痛。用于头痛...,￥11.5
复方氯唑沙宗片,本品适用于各种急性、慢性软组...,￥13
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥8.5
小儿氨酚黄那敏颗粒,适用于缓解儿童普通感冒及流行...,￥8.5
复方桐叶烧伤油,清热解毒，消肿止痛，祛腐生肌...,
萘普生栓,用于缓解轻度至中度疼痛，如关...,
氨咖黄敏胶囊,适用于缓解普通感冒及流行性感...,￥35.1
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥1
三七片,用于外伤出血，跌扑肿痛。,￥15
天麻片,祛风除湿，舒筋通络，活血止痛...,
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
三黄片,清热解毒，泻火通便。用于三焦...,￥33.3
黄连上清片,散风清热，泻火止痛。用于风热...,￥3
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,
小儿氨酚烷胺颗粒,适用于缓解儿童普通感冒及流行...,￥7.4
复方氨酚烷胺片,适用于缓解普通感冒及流行性感...,￥8
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥8.6
复方三七胶囊,化瘀止血，消肿止痛。用于跌打...,￥10.3
对乙酰氨基酚栓,用于小儿普通感冒或流行性感冒...,
萘普生缓释片,主要治疗类风湿性关节炎、幼年...,￥10
对乙酰氨基酚咀嚼片,用于儿童普通感冒或流行性感冒...,￥7
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,￥3.9
痛克搽剂,活血化瘀，消肿止痛。用于瘀血...,￥36.8
辣椒风湿膏,祛风散寒，舒筋活络，消肿止痛...,￥12.1
双氯芬酸钾片,本品适用于下列急性疼痛的短期...,
双氯芬酸钠凝胶,用于缓解肌肉、软组织和关节的...,￥8.2
麝香壮骨膏,镇痛，消炎。用于风湿痛，关节...,￥6.3
萘普生胶囊,用于治疗风湿性和类风湿性关节...,￥3
麝香追风膏,祛风散寒，活血止痛。用于风湿...,￥5.7
对乙酰氨基酚栓,用于普通感冒或流行性感冒引起...,
烫疮油,清热止痛，解毒消肿，生肌；用...,
独活止痛搽剂,止痛，消肿，散瘀。用于小关节...,￥12
红药片,活血止痛，去瘀生新，用于跌打...,￥3.8
活络油,祛风活络，消肿止痛。用于风湿...,
阿司匹林片,用于普通感冒或流行性感冒引起...,
吡罗昔康凝胶,用于缓解局部疼痛，如肌肉痛，...,￥9
盐酸乙哌立松片,中枢性肌肉松弛药。1.用于改善...,￥54
红药片,活血止痛，去瘀生新，用于跌打...,￥10.5
愈裂贴膏,本品有软化角质层，生肌止痛，...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥12.8
萘普生胶囊,用于治疗风湿性和类风湿性关节...,
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,
伤湿止痛膏,祛风湿，活血止痛，用于风湿性...,￥7.8
跌打丸,活血散瘀，消肿止痛。用于跌打...,
三果汤含片,清热生津，润燥利咽。用于燥热...,￥25
伤痛宁膏,活血散瘀，消肿止痛。用于关节...,￥25
华佗膏,杀菌止痒。用于癣症湿气，脚趾...,
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
史国公药酒,祛风除湿，活血通络。用于风寒...,
酮洛芬缓释胶囊,用于各种关节炎：类风湿关节炎...,￥23
奥沙普秦分散片,本品适用于风湿性关节炎、类风...,￥8.5
乙水杨胺片,用于缓解轻至中度疼痛，如头痛...,
复方三七胶囊,化瘀止血，消肿止痛。用于跌打...,￥7.5
关节止痛膏,祛风除湿，活血止痛。用于风寒...,￥37.1
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥24.2
辣椒风湿膏,祛风散寒，舒筋活络，消肿止痛...,￥10
复方牙痛宁搽剂,消肿止痛。用于牙痛，牙周肿痛...,￥15
对乙酰氨基酚片,用于普通感冒或流行性感冒引起...,
川芎茶调片,疏风止痛。用于风邪头痛，或有...,￥13.5
小儿氨酚烷胺颗粒,适用于缓解儿童普通感冒及流行...,￥10.4
御制平安丸,温中和胃，行气止痛，降逆止呕...,
养血荣筋丸,养血荣筋，祛风通络。用于跌打...,￥18.7
唇齿清胃丸,清胃火。用于由胃火引起的牙龈...,
复方七叶皂苷钠凝胶,炎症，退行性病变及创伤引致的...,
尼美舒利颗粒,本品为非甾体抗炎药，仅在至少...,￥16
贝诺酯片,用于普通感冒或流行性感冒引起...,
茶苯海明片,用于防治晕动病，如晕车、晕船...,
复方三七胶囊,化瘀止血，消肿止痛。用于跌打...,￥8
黄连上清丸,散风清热，泻火止痛。用于风热...,￥8.5
清火栀麦片,清热解毒，凉血消肿。用于肺胃...,￥5
跌打丸,活血散瘀，消肿止痛。用于跌打...,￥15
愈伤灵胶囊,活血散瘀，消肿止痛。用于跌打...,￥7.2
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行...,￥15.8
复方氨酚烷胺胶囊,适用于缓解普通感冒及流行性感...,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,
黄金波药酒,祛风活血，温中和胃。用于肢体...,
保济丸,解表，祛湿，和中。用于暑湿感...,
克伤痛气雾剂,活血化瘀，消肿止痛。用于急性...,
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,
活络油,舒筋活络，祛风散瘀。用于风湿...,￥37.4
国公酒,散风祛湿，舒筋活络。用于风寒...,
对乙酰氨基酚口服液,適用於感冒引起的發熱，頭痛及...,
精氨酸阿司匹林片,本品为解热、消炎镇痛药。主要...,
关节止痛膏,祛风除湿，活血止痛。用于风寒...,
黄连上清丸,散风清热，泻火止痛。用于风热...,￥7.5
天麻片,祛风除湿，舒筋通络，活血止痛...,￥6
布洛芬混悬滴剂,用于婴幼儿的退热，缓解由于感...,￥19
盘龙七片,活血化瘀，祛风除湿，消肿止痛...,￥21.9
精制五加皮酒,强筋壮骨，活血祛风，健脾除湿...,￥47.8
小儿氨酚匹林咖啡因片,用于小儿感冒引起的发热，也用...,￥5
橡皮生肌膏,去痛生肌，消炎长皮。用于褥疮...,￥46.5
芎菊上清丸,清热解毒，散风止痛。用于外感...,￥6.5
黄连上清片,清热通便，散风止痛。用于内热...,￥3
清火片,清热泻火，通便。用于咽喉肿痛...,￥16.8
糠甾醇片,用于牙周病引起的牙龈出血，牙...,￥10
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,
消炎镇痛膏,消炎镇痛。用于神经痛、风湿痛...,￥17
盐酸地芬尼多片,用于防治多种原因或疾病引起的...,￥11.8
卡马西平片,1.癫痫：部分性发作：复杂部分...,￥14.2
盐酸曲马多胶囊,用于癌症、术后、骨折、创伤、...,
外用重组牛碱性成纤维细胞生长因子,促进创面愈合，用于烧伤创面(...,￥116
锝[99Tc]亚甲基二膦酸盐注射液,类风湿性关节炎等自身免疫性疾...,￥78
尼美舒利片,本品为非甾体抗炎药，具有抗炎...,￥14.4
奥沙普秦片,适用于风湿性关节炎、类风湿性...,
注射用重组人生长激素,用于儿童、成人生长激素缺乏症...,
酚麻美敏混悬液,本品用于小儿，可减轻普通感冒...,￥20.1
双氯芬酸钠肠溶片,用于：1.缓解类风湿关节炎、骨...,￥2.9
双氯芬酸钠缓释胶囊,①缓解类风湿关节炎、骨关节炎...,￥21.7
人工牛黄甲硝唑胶囊,用于急性智齿冠周炎、局部牙槽...,￥15
乳癖消片,软坚散结，活血消痛，清热解毒...,￥16.8
盐酸罗哌卡因注射液,适用于外科手术麻醉硬膜外麻醉...,￥238.5
布洛芬片,用于缓解轻至中度疼痛如头痛、...,￥2.8
尼美舒利颗粒,本品为非甾体抗炎药，仅在至少...,￥7.3
小牛血清去蛋白注射液,1.改善脑部血液循环和营养障碍...,
布洛芬混悬滴剂,用于婴幼儿的退热，缓解由于感...,￥12.4
布洛芬缓释混悬液,本品系非甾体类抗炎药，有解热...,￥31.2
洛索洛芬钠片,类风湿性关节炎、骨性关节炎、...,￥15
双氯芬酸钠缓释片(Ⅴ),1.急慢性风湿性、急慢性关节炎...,￥17.2
酮咯酸氨丁三醇胶囊,1.用于中、重度疼痛（如术后、...,￥42
复方氨酚甲麻口服液,缓解感冒早期的诸症状，如流涕...,￥24.8
吲哚美辛栓,用于风湿性关节炎、类风湿性关...,￥3.2
双氯芬酸钠缓释片(Ⅳ),1.急慢性风湿性关节炎、急慢性...,￥13.9
三七伤药片,舒筋活血，散瘀止痛。用于跌打...,￥9.8
盐酸异丙嗪片,适应症：1．皮肤黏膜过敏：适...,￥7.6
克霉唑乳膏,用于体癣、股癣、手癣、足癣、...,￥2.9
尼美舒利片,本品为非甾体抗炎药，仅在至少...,￥8.9
接骨七厘片,活血化瘀，接骨止痛。用于跌打...,￥33.9
雷公藤片,具有抗炎及免疫抑制作用。用于...,￥26.4
秋水仙碱片,治疗痛风性关节炎的急性发作，...,￥13
骨筋丸胶囊,活血化瘀，舒筋通络，祛风止痛...,￥7
七厘散,化瘀消肿，止痛止血。用于跌打...,￥64
活血止痛胶囊,活血散瘀，消肿止痛。用于跌打...,￥5.2
龙血竭胶囊,活血散瘀，定痛止血，敛疮生肌...,￥18.9
伤科接骨片,活血化瘀，消肿止痛，舒筋壮骨...,￥32.5
舒筋活血片,适应症：舒筋活络，活血散瘀。...,￥11.6
同仁大活络丸,祛风，舒筋，活络，除湿。用于...,￥69.2
天麻丸,祛风除湿，通络止痛，补益肝肾...,￥19
祛风止痛胶囊,祛风止痛，舒筋活血，强壮筋骨...,￥31.4
伸筋活络丸,舒筋活络、祛风除湿、温经止痛...,￥59
美洛昔康片,适用于类风湿性关节炎的症状治...,￥11.2
盐酸氨基葡萄糖片,全身所有部位骨关节炎的治疗和...,￥47
布洛芬片,本品为非甾体抗炎药。适用于 1...,￥3.4
冰硼散,清热解毒，消肿止痛。用于热毒...,￥8.4
氨酚伪麻美芬片,本品用于缓解普通感冒及流行性...,￥11.8
康复新液,通利血脉，养阴生肌。内服：用...,￥40.5
氨酚伪麻那敏胶囊,用于由感冒引起的各种症状：发...,￥7.7
舒林酸片,适用于类风湿关节炎，退行性关...,￥11.8
苯溴马隆胶囊,单纯原发性高尿酸血症以及痛风...,￥26.5
三黄片,清热解毒，泻火通便。用于三焦...,￥7.2
桂附地黄丸,温补肾阳。用于肾阳不足，腰膝...,
对乙酰氨基酚片,解热镇痛类药，用于发热、头痛...,￥4.8
小儿氨酚黄那敏颗粒,用于缓解儿童普通感冒及流行性...,￥9.5
