名称,简介,药性,功效,适应症
牛蒡茶,别名恶实、荔实、马亦名鼠粘、牛蒡、大力子、蒡翁菜、便牵牛、蝙蝠刺。,辛、平、无毒。,清热解毒，疏风利咽。用于风热感冒，咳嗽，咽喉肿痛，疮疖肿痛，脚癣，湿疹。,牛蒡茶可调节血糖血脂，降血压、胆固醇，健脾胃，补肾壮阳，对糖尿病、类风湿、肥胖症、癌症有明显的效果。
薄荷叶,：本品为唇形科薄荷属植物薄荷的干燥地上部分。夏、秋二季茎叶茂盛或花开至三轮时，选晴天，分次采割，晒干或阴干。,：辛，凉。,：宣散风热。清头目，透疹。,：用于风热感冒，风温初起，头痛，目赤，喉痹，口疮，风疹，麻疹，胸胁胀闷。
荆芥穗,荆芥穗，别名香荆荠，气芳香，味微涩而辛凉。,性温，味辛。,解表散风、透疹。,感冒、头痛、麻疹、风疹、疮疡初起。…
金丝皇菊,皇菊，菊花茶中的极品，药性稍弱，更适合饮用和食用。,味甘苦，性微寒。,清热去火、改善口干、目涩、抗氧化，防辐射，延缓衰老。,眼睛疲劳、视力模糊。。…
红毛丹,,味甘，性温。,增强人体免疫力、养颜护肤、改善头晕、清热解毒。,头晕、低血压、下痢、腹部寒凉不适。…
北柴胡,,味苦、辛，性微寒,疏散退热、镇静、镇咳、抗病毒、促进免疫功能。,感冒发热、寒热往来、疟疾，肝郁气滞，胸肋胀痛、失眠多梦
麻黄,别名 龙沙、狗骨、卑相、卑盐,辛、微苦，温。归肺、膀胱经。,发汗散寒，宣肺平喘，利水消肿。本品发汗解表和利水消肿力强，多用于风寒表实证，胸闷喘咳，风水浮肿，风湿痹痛，阴疽，痰核。蜜麻黄性温偏润，辛散发汗作用缓和，增强了润肺止咳之功，以宣肺平喘止咳力胜。多用于表症已解，气喘咳嗽。,麻黄绒作用缓和，适于老人、幼儿及虚人风寒感冒。蜜麻黄绒作用更为缓和，适于表证已解而喘咳未愈的老人、幼儿及体虚患者…
桂枝,樟科常绿乔木植物肉桂的干燥嫩枝。,辛;甘;性温。入膀胱、心、肺经。,发汗解肌，温经通脉，助阳化气，散寒止痛。散寒解表;温通经脉;通阳化气。主风寒表证;寒湿痹痛;四肢厥冷;经闭痛经;症瘕结块;胸痹;心悸;痰饮;小便不利。用于风寒感冒，脘腹冷痛，血寒经闭，关节痹痛，痰饮，水肿，心悸，奔豚。,"本品辛温助热，易伤阴动血,凡温热病及阴虚阳盛、血热妄行、孕妇胎热以及产后风湿伴有多汗等情形均忌用、月经过多者慎用…"
紫苏,本品为唇形科植物紫苏的干燥叶（或带嫩枝）。夏季枝叶茂盛时采收，除去杂质，晒干。别名：苏叶。,辛，温。归肺、脾经。,解表散寒，行气和胃。用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒。,紫苏叶能散表寒，发汗力较强，用于风寒表症，见恶寒、发热、无汗等症，常配生姜同用，紫苏叶用于脾胃气滞、胸闷、呕恶，均可应用，都是取其行气宽中的作用，临床常与藿香配伍应用…
生姜,别名 姜皮、姜、姜根、百辣云,辛、微温，归肺、脾、胃经,发汗解表，温中止呕，温肺止咳，解鱼蟹毒，解药毒。为芳香性辛辣健胃药，有温暖、兴奋、发汗、止呕、解毒、温肺止咳等作用，特别对于鱼蟹毒，半夏、天南星等药物中毒有解毒作用。适用于外感风寒、头痛、痰饮、咳嗽、胃寒呕吐;在遭受冰雪、水湿、寒冷侵袭后，急以姜汤饮之，可增进血行，驱散寒邪。,阴虚，内有实热，或患痔疮者忌用…
香薷,本品为唇形科植物石香薷的干燥地上部分。夏、秋二季茎叶茂盛、果实成熟时采割，除去杂质，晒干。别名：香茹、香草,辛，微温。,发汗解表，和中利湿。用于暑湿感冒，恶寒发热，头痛无汗，腹痛吐泻，小便不利。,香薷发散风寒，有发汗解表作用，但多用于夏季贪凉，感冒风寒所引起的发热、恶寒、头痛、无汗等症，往往与藿香、佩兰等配合应用。本品虽能祛暑，但性温辛散，多适用于阴暑病症…
荆芥,别名 香荆荠、线荠、四棱杆蒿、假苏,味辛;微苦;性微湿。入肺、肝经。,荆芥为发汗，解热药，是中华常用草药之一。能镇痰、怯风、凉血。祛风;解表;透疹;止血。治流行感冒，头疼寒热发汗，呕吐。主感冒发热;头痛;目痒;咳嗽;咽喉肿痛;麻疹;痈肿;疮疥;衄血;吐血;便血;崩漏;产后血晕，炒炭治便血。,发表透疹消疮宜生用;止血宜炒用。荆芥穗更长于祛风。宜晴天加工，必须抢水洗净，不宜久润，随切随晒，当天晒干…
防风,别名 铜芸、回云、回草、百枝、百种,味辛;甘;性微温。归膀胱、肺、脾、肝经。,解表药;祛风药。功效：祛风解表、胜湿止痛、解痉、止痒。阴血亏虚、热病动风者不宜使用，血虚痉急或头痛不因风邪者忌服。内服：煎汤，5-10克;或入丸、散。外用：适量，煎水熏洗。,用于感冒风寒，发热恶寒，头痛、身痛。以及感冒风热、发热恶寒、目赤、咽痛等症。主治：外感风寒;头痛身痛;风湿痹痛;骨节酸痛;腹痛泄泻;肠风下血;破伤风;风疹瘙痒;疮疡初起…
羌活,别名 羌青、护羌使者、胡王使者、羌滑,味辛;苦;性温。入膀胱、肾经。,散表寒;祛风湿;利关节;止痛。发散风寒，有祛风止痛，祛风湿的作用。一般认为本品以风湿痹痛在身半以上者为宜，如周身痹痛，可配防风、独活等同用。对于头痛病症，多配合川芎、细辛等。,治感冒风寒，头痛无汗，风寒湿痹，项强筋急，骨节酸疼，风水浮肿，痈疽疮毒。用于阳痿遗精，遗尿尿频，腰膝冷痛，肾虚作喘，五更泄泻;外用治白癜风，斑秃。解表散寒，祛风胜湿，止痛…
白芷,别名 芷，芳香，苻蓠，泽芬，白臣，番白芷,辛，温。入肺、脾、胃经。为阳明经引经药。,祛风除湿;通窃止痛;解表散寒，祛风止痛，通鼻窍，燥湿止带，消肿排脓。为治鼻渊要药，有化湿通鼻窍之功，多配合辛夷、鹅儿不食草等同用，既可内服，又可外用。还有解蛇毒作用。,"主感冒头痛;眉棱骨痛;牙痛;目痒泪出;鼻塞;鼻渊;湿胜久泻;妇女白带;肠风痔漏，痈疽疮疡;瘙痒疥癣;毒蛇咬伤。 
内服：煎汤，4～10克;或入丸、散。外用：研末撒或调敷…"
细辛,别名 小辛，细草，少辛，独叶草,辛；温；入肺、肾、心、肝、胆、脾经。,解表散寒；祛风止痛；温肺化饮；通窍。主治风寒表证；头痛，牙痛；风湿痹痛;痰饮咳喘;鼻塞；鼻渊；口疮。用于风寒感冒，头痛，牙痛，鼻塞鼻渊，风湿痹痛，痰饮喘咳。祛风，散寒，行水，开窍。治风冷头痛，鼻渊，齿痛，痰饮咳逆等。,细辛既能外散风寒，又能内祛阴寒，同时止痛、镇咳功效较佳。虽有较好的散寒作用，但发汗作用力较弱…
藁本,别名 香藁本、藁茇、鬼卿、地新、山茝、蔚香、微茎、藁板,祛风，散寒，除湿，止痛。用于风寒感冒，巅顶疼痛，风湿肢节痹痛。,藁本煎剂对许兰氏毛菌等皮肤癣菌有抑制作用，其醇提取物对常见的皮肤癣菌有抗菌作用，所含有的藁本挥发油对中枢神经有抑制作用，可以镇静、镇痛、解热、降温，并能够抑制肠道和子宫平滑肌，明显降低耗氧速度，增加组织耐氧能力。,急性毒性试验用寇氏法求得小鼠灌胃藁本中性油72小时，半数致死量为70.17±4.95g/kg(按生药计算)…
苍耳子,又名苍耳、老苍子、苍子、葈耳、苍刺头、毛苍子等,苍耳子味苦、甘、辛，性温，小毒;归肝、肾经。,降血糖，抗炎，腰腿痛，变态反应性鼻炎，慢性鼻炎，疟疾，腮腺炎，下肢溃疡，急、慢性胃肠炎，菌痢，解毒防毒，眩晕，头脑攻痛，除风湿痹，大麻风，疥癞，消风散毒，妇人风瘙瘾疹，湿疹，鼻流浊涕不止，目睹耳鸣，牙疼，疔疮恶毒，子宫出血，通鼻窍等。,用于风寒头痛，鼻渊流涕，风疹瘙痒，湿痹拘挛;子宫出血，深部脓肿，麻风，皮肤湿疹;急性胃肠炎，慢性胃肠炎，菌痢等…
辛夷,别名 辛、侯桃、房木、木笔、迎春,辛，温。入肺、胃经。,有芳香宣散，祛风，通窍的功效。散风寒，通鼻窍。用于风寒头痛，鼻塞，鼻渊，鼻流浊涕，头痛，鼻塞不通，齿痛。该品亦可外用。鼻塞用辛夷研末，加麝香少许，以葱白蘸入鼻中，几次即见效。,风寒，鼻流清涕，喷嚏不止者，可与防风、白芷、细辛、川芎等同用;鼻流浊涕，黄厚热臭，可与薄荷、黄芩、金银花等配伍。若症见浊弟如脓，鼻塞不闻香臭者，可与柴胡、山板子、贝母等同施…
葱白,又名大葱，以鳞茎或全草入药。全草四季可采，洗净鲜用；葱白（鳞茎）用时需剥去外膜，去须根及叶。,辛，温。入肺、胃经。,发表；通阳；解毒；杀虫。主感冒风寒；阴寒腹痛；二便不通；痢疾；疮痈肿痛；虫积腹痛,治疗感冒，治疗蛔虫性急腹痛，治疗蛲病，治疗乳腺炎，治疗小儿消化不良。
鹅不食草,别名球子草、石胡蒌、地胡椒、三牙戟、食胡荽、野园荽、鸡肠草、鹅不食、地芫荽、满天星、沙飞草、大救驾、三节剑、山胡椒、连地稗、二郎戟、小救驾、杜网草、猪屎草、砂药草、白地茜、猪屎潺、通天窍、雾水沙、猫沙、小拳头、铁拳头、散星草、地杨梅、三牙钻、蚊子草、白珠子草、二郎剑。,味辛，性温。归肺经。,具有发散风寒，通鼻窍，止咳，解毒，止痒等功效。,用于风寒头痛，咳嗽痰多，鼻塞不通，鼻渊流涕…
胡荽,胡荽，伞形科胡荽属一年生或二年生草本，又名香菜、芫荽。埃及于公元前3～前2世纪曾以此为供品。汉代张骞出使西域时引入中国，8～12世纪传入日本。现中国南北都有栽培。中医学上以果实入药，有驱风、透疹、健胃及祛痰等功效。另外，胡荽具特殊香味，是中国生熟菜肴的调味品。,根白色，主根较粗大，侧根发生不规则。根生叶长5～40厘米不等，叶片一或三回羽状全裂，裂片卵形，有缺刻或深裂。茎生叶柄渐短，叶片三至多回羽状分裂，裂片狭线形，全缘。复伞形花序顶生和腋生，花小、白色…,,
柽柳,为柽柳科植物柽柳，桧柽柳或多枝柽柳的细嫩枝叶。别名：柽、河柳、殷柽、雨师、人柳、赤柽木、三春柳、春柳、三眠柳、长寿仙人柳。,甘咸，平。,疏风；解表；透疹；解毒。主风热感冒；麻疹初起；疹出不透；风湿痹痛；皮肤瘙痒。,柽柳辛散，有祛风除湿作用，治疗风湿痹证，肢节疼痛，可与羌活、独活等祛风湿、止痹痛药同用。柽柳有一定的解热解毒作用。麻疹已透及体虚汗多者忌服…
