中药名,药用部位,药材性状,性味归经,功效与作用,临床应用,药理研究,主要成分|化学成分,使用禁忌,药方
['功劳木'],['小檗科植物阔叶十大功劳Mahonia bealei (Fort.) Carr.或细叶十大功劳Mahonia fortunei(Lindl.) Fedde的茎。(本文以阔叶十大功劳为例)'],['不规则块片，大小不等。外表面灰黄色至棕褐色，有明显的纵沟纹及横向细裂纹，有的外皮较光滑，有光泽，或有叶柄残基。切面皮部薄，棕褐色，木部黄色，可见数个同心性环纹及排列紧密的放射状纹理，髓部色较深，质硬。无臭，味苦。'],['性寒，味苦。归肝经、胃经、大肠经。'],['清热燥湿、泻火解毒。属清热药下属分类的清热燥湿药'],['用量9～5克，水煎服；外用适量。用治湿热泻痢、黄疸、目赤肿痛、胃火牙痛、疮疖、痈肿、痢疾、黄疸型肝炎。'],['阔叶十大功劳根的25%水煎剂在体外对金黄色葡萄球菌、大肠杆菌和绿脓杆菌有较轻度抑制作用。从细叶十大功劳中提出的3种生物碱的盐类在低浓度时能促进离体肠管的自发运动，高浓度时可导致张力上升、运动抑制。'],['阔叶十大功劳主含小檗碱。细叶十大功劳含生物碱约0.3%，其中有小檗碱、药根碱、小檗胺及微量木兰碱；并含氧基刺檗碱、盐酸巴马汀、尖刺碱、小檗胺、掌叶防已碱及木兰花碱等成分。'],['体质虚寒者忌用。'],['①治肠炎、痢疾：功劳木15克，桃金娘根30克，石榴叶(或凤尾草)15克。水煎服。(《浙江药用植物志》)②治痔疮：功劳木15克，猪脚爪2只，煮熟去渣，食猪爪。(《湖南药物志》)③治目赤肿痛：功劳木、野菊花各15克。水煎服。(江西《草药手册》)④治火牙：功劳木60克。煎水，频频含嗽。(《湖南药物志》)最近更新时间：2018-06-26']
['四季青'],['冬青科植物冬青Ilex chinensis Sims的叶片。'],['呈椭圆形或狭长椭圆形，长6～12厘米，宽2～4厘米。先端急尖或渐尖，基部楔形，边缘具疏浅锯齿。上表面棕褐色或灰绿色，有光泽；下表面色较浅；叶柄长0.5～1.8厘米。革质。气微清香，味苦、涩。'],['性凉，味苦、涩。归肺经、大肠经、膀胱经。'],[' 清热解毒，消肿祛瘀。属清热药下属分类的清热解毒药。'],['用量15～60克；外用：适量，鲜品捣敷；或水煎洗、涂。用治肺热咳嗽，咽喉肿痛，痢疾，胁痛，热淋；外治烧烫伤，皮肤溃疡。'],['可用于治疗实验性烫伤；对心血管系统，能扩张冠脉血管、降低心肌耗氧量；具有抗菌、抗炎作用，轻度抑制小鼠实验性HF肉瘤作用。'],['四季青叶中主要成分为冬青三萜甙A，亦即3β-O-(β-D-吡喃木糖基)泰国树脂酸和冬青三萜甙B甲酯亦即3β-O-(β-D-吡喃木糖基)坡模醇酸甲酯。 此外，还含原儿茶酸，原儿茶醛，熊果酸，鞣质，黄酮甙、糖类等成分。'],['尚不明确。'],['①治感冒，扁桃体炎，急慢性支气管炎：四季青叶、三脉叶马兰各30克，制成煎液90毫升，每日3次分服。[《新医药资料》1972，(1)：37]②治乳腺炎：四季青叶60克，夏枯草、木芙蓉各45克，捣烂如泥敷患处，干后加水调湿再敷。(《全国中草药汇编》)③治烫伤：四季青叶水煎浓缩成1：1药液。伤而清创后，用棉球蘸药液反复涂搽，如痂膜下有分泌物出现，可去痂后再行涂布，直至痊愈。(《浙江药用植物志》)④治皮肤皲裂，瘢痕：四季青叶适量烧灰加凡士林、面粉各适量，调成软膏外涂，每日3～5次。(《青岛中草药手册》)⑤治妇人阴肿：四季青叶、小麦、甘草各等分。煎水洗之。(《古今医统》冬青叶煎)⑥治外伤出血：四季青叶(鲜)适量，嚼烂外敷。(《江西草药》)最近更新时间：2018-06-24']
['石楠叶'],['蔷薇科植物石楠Photinia serrulata Lindl.的干燥叶。'],['本品呈长椭圆形或倒卵状椭圆形，长8～15厘米，宽2～6厘米；先端尖或突尖，基部近圆形或楔形，边缘具细密的锯齿，齿端棕色，但在幼时及萌芽枝上的叶缘具芒状锯齿；上面棕色或棕绿色，无毛，羽状脉，中脉凹入。下面中脉明显突出。叶片革质而脆。气微，微涩。'],['性平，味辛、苦。归肝经、肾经。'],['祛风湿，止痒，强筋骨，益肝肾。属祛风湿药下属分类的祛风湿强筋骨药。'],['内服：煎汤，3～10克；或入丸、散。外用：适量，研末撒或吹鼻。主治风湿痹痛，头风头痛，风疹，脚膝痿弱，肾虚腰痛，阳痿，遗精。'],['对离体、在体蛙心、兔心有兴奋作用；抑制蛙心，收缩兔耳血管，降低麻醉犬血压；可杀死日本血吸虫尾蚴，也能杀灭钉螺等作用。'],['本品主要含鞣质、樱花苷、山梨醇、正烷烃、苯甲醛、氢氰酸等成分。'],['阴虚火旺者禁服。有小毒。'],['①治腰膝酸痛：石楠叶、牛膝、络石藤各9克，枸杞6克，狗脊12克。水煎服。(《青岛中草药手册》)②治头风头痛：石楠叶、川芍、白芷各4.5克。水煎服。(《浙江药用植物志》)③治偏头痛：石楠叶、蔓荆子、女贞子各9克，白芷6克，川芎4.5克。煎服。(《安徽中草药》)④治感冒咳嗽：石楠叶、桔梗、紫菀、桑白皮各9克。煎服。(《安徽中草药》)⑤咳嗽痰喘：石楠叶研末。装烟斗内燃着当烟吸。(《安徽中草药》)最近更新时间：2018-06-24']
['艾叶'],['菊科植物艾Artemisia argyi Levl. et Vant.的叶。'],['多皱缩、破碎，有短柄。完整叶片展开后呈卵状椭圆形，羽状深裂，裂片椭圆状披针形，边缘有不规则的粗锯齿；上表面灰绿色或深黄绿色，有稀疏的柔毛及腺点；下表面密生灰白色茸毛。质柔软。气清香，味苦。'],['性温，味苦、辛。归肝经、脾经、肾经。'],['散寒止痛、温经止血。属止血药下属分类的温经止血药。'],['用量3～9克，水煎服；外用适量，供炙治或熏洗用。主要用治少腹冷痛、经寒不调、宫冷不孕、吐血、衄血、崩漏经多、妊娠下血；外治皮肤瘙痒。醋艾炭温经止血。用于虚寒性出血。近年对其药理作用有不少研究，如水浸剂对致病金黄色葡萄球菌及某些皮肤真菌有抑制作用。此外，尚有增进食欲等作用。艾叶油有镇咳、祛痰、平喘、抑菌、镇静、抗休克等作用。'],['具有抗菌作用；能显著增强网状内皮细胞的吞噬功能；平喘、镇咳、祛痰；抗过敏性休克；抑制心肌收缩，抗血凝和高强度抑制血小板聚集；能明显延长戊巴比妥钠睡眠时间。尚具有利胆、兴奋子宫作用。'],['含挥发油0.2%～0.33%，尚含β-谷甾醇、豆甾醇、α-香树脂、β-香树脂、无羁萜、柑橘素、槲皮素与4个桉烷衍生物。另含2-甲基丁醇、艾醇、龙脑、顺式香苇醇、优葛缕酮、α-侧柏烯、甲基丁香油酚、魁蒿内酯等成分。'],['阴虚血热者及宿有失血病者慎用。'],['①治产后泻血不止：干艾叶15克(炙熟)，老生姜15克；浓煎汤。一服便止。(《食疗本草》)②治妊娠卒胎动不安，或腰痛，或胎转抢心，或下血不止：艾叶一鸡子大，以酒四升，煮取二升，分为二服。(《肘后方》)③治妊娠心气痛：艾叶、茴香、川楝子(俱炒)等分。醋煎服。(《卫生易简方》)④治转筋吐泻：艾叶、木瓜各15克，盐6克。水盅半，煎一盅，待冷饮。(《卫生易简方》)⑤治癣：醋煎艾叶涂之。(《千金要方》)最近更新时间：2018-06-24']
['山楂叶'],"['蔷薇科植物山里红Crataegus pinn,atzjida Bge.var.major N.E.Br.或山楂Crataegus pinnatzjida Bge.的干燥叶。']",['本品多已破碎，完整者展开后呈宽卵形，长6～12厘米，宽5～8厘米，绿色至棕黄色，先端渐尖，基部宽楔形，具2～6羽状裂片，边缘具尖锐重锯齿；叶柄长2～6厘米，托叶卵圆形至卵状披针形。气微，味涩、微苦。'],['性平，味酸。归肝经。'],['活血化瘀，理气通脉，化浊降脂。属活血化瘀药下属分类的活血止痛药。'],['内服：煎汤，3～10克；或泡茶饮。外用：适量，煎汤洗。用于气滞血瘀，胸痹心痛，胸闷憋气，心悸健忘，眩晕耳鸣，高脂血症。'],['具有抗凝血、降血脂作用。'],['本品含槲皮素、金丝桃苷、牡荆素鼠李糖苷、2α，3β，19α-三羟基熊果酸、熊果酸、山楂定A、山楂定B、山楂定C、山楂定D等成分。'],['尚不明确。'],['① 治高血压：山楂叶，水煎代茶饮。(《陕西中草药》)最近更新时间：2018-06-24']
['木芙蓉叶'],['锦葵科植物木芙蓉Hibiscus mutabilis L.的叶。'],['有叶柄，粗约0.3厘米，叶片多卷缩、破碎，完整者展平后呈卵圆状心形，黄褐色，叶片大型，常折叠，叶面灰绿色，叶背淡绿色，脉隆起，被灰色星状毛。质脆易碎，气微、味微辛。'],['性凉，味微辛、苦。归肺经、肝经。'],['清热解毒、凉血止血、消肿止痛。属清热药下属分类的清热凉血药。'],['用量10～30克，煎服；外用适量，研末调敷患处。用治肺热咳嗽、吐血崩漏、痈肿疮毒、淋巴结炎、阑尾炎等，外用治痈节脓肿，烧伤烫伤等。'],['药理实验表明，叶、花流浸膏具有明显抗菌作用。'],['含黄酮苷、酚类、氨基酸、鞣质、还原糖等。尚有报道，含延胡索酸、芦丁、槲皮苷、异槲皮苷、大黄素、山柰酚-3-O-β-芸香糖苷等成分。'],['孕妇禁服。'],['①治痈疽肿毒：重阳前取芙蓉叶(研末)，端午前取苍耳(烧存性，研末)，等分。蜜水调涂四周，其毒自不走散。(《古今医统》铁井栏)②治缠身蛇丹(带状疱疹)：木芙蓉鲜叶阴干研末调米浆涂抹患处。(《福建中草药》)③治腮颚肿痛，或破成疮：芙蓉叶不拘多少。捣烂敷之，以帛系定，日一换。(《奇效良方》芙蓉敷方)④治毒蛇咬伤：木芙蓉鲜叶、花适量。洗净，加食盐少许，捣敷伤日周围肿胀处，每天换2次。(《浙江药用植物志》)⑤治跌打扭伤：木芙蓉鲜叶、花适量，捣烂外敷;或晒干研粉，酒、醋或茶汁调搽。(《濒江药用植物志》)⑥治赤眼肿痛：芙蓉叶末，水和，贴太阳穴。(《飞鸿集》清凉膏)⑦治肺痈：木芙蓉叶15克(或根60克)，煎水，加蜂蜜适量调服。(《安徽中草药》)最近更新时间：2018-06-24']
['人参叶'],['五加科植物人参Panax ginseng C.A.Mey.的干燥叶。'],['常扎成小把，呈束状或扇状，长12～35厘米。掌状复叶带有长柄，暗绿色，3～6枚轮生。小叶通常5枚，偶有7或9枚，呈卵形或倒卵形。基部的小叶长2～8厘米，宽1～4厘米；上部的小叶大小相近，长4～16厘米，宽2～7厘米。基部楔形，先端渐尖，边缘具细锯齿及刚毛，上表面叶脉生刚毛，下表面叶脉隆起。纸质，易碎。气清香，味微苦而甘。'],['性寒，味苦、甘。归肺经、胃经。'],['补气，益肺，祛暑，生津。属补虚药下分类的补气药。'],['内服：煎汤，用量为3～10克。用于气虚咳嗽。暑热烦躁，津伤口渴，头目不清，四肢倦乏。'],['能提高学习记忆力，增加脑内RNA的含量和全脑去甲肾上腺素的含量；能显著提高免疫功能；可使冠脉血流量明显增加，耗氧量减少，心肌收缩力明显增强，心率减慢，降低血压，改善心功能及心肌缺血作用；提高耐缺氧能力；能抑制血小板聚集，可明显抑制血瘀大鼠的血栓形成，降低其血细胞比容，增加血瘀动物红细胞流动性；影响体内脂质、蛋白质及水盐代谢；抗肿瘤作用；延缓衰老作用；具有抗疲劳作用，对高温、低温、烫伤和微波辐射的应激条件下的机体具有保护作用。尚具有抗炎、抑制病毒复制、使血清总蛋白含量及胎盘功能明显改善的作用。'],['人参叶含人参皂苷Rb1、人参皂苷Rb2、人参皂苷Rc、人参皂苷Rd、人参皂苷Re、20(R)原人参二醇、三叶豆苷、1，2-二苯基乙烷、十三烷酸等成分。'],[],[]
['大青叶'],['为十字花科植物菘蓝Isatis Indigotica Fort.的干燥叶。'],['多皱缩卷曲，有的破碎。完整叶片展平后呈长椭圆形至长圆状倒披针形，长5～20厘米，宽2～6厘米；上表面暗灰绿色，有的可见色较深稍突起的小点；先端钝，全缘或微波状，基部狭窄下延至叶柄呈翼状；叶柄长4～10厘米，淡棕黄色。质脆。气微，味微酸、苦、涩。'],['性寒，味苦。归心经、胃经。'],['清热解毒、凉血清斑。属清热药下分类的清热解毒药。'],['煎服10～15克。用治温病、血热发斑、壮热不退、痄腮、喉痹、丹毒以及血热妄行的上部出血症等。'],['具有抗病原微生物作用，尚具有抗内毒素的作用。对大鼠有利尿作用，对大鼠蛋清性“关节炎”及右旋糖酐性“关节炎”均有明显的抗炎作用。'],['含黄酮苷-山大青苷，此外，也含有靛玉兰、靛蓝、菘蓝苷B、靛玉红、呋喃木糖甜酸等成分。'],['非实热火毒者慎服，脾胃虚寒者禁服。'],['①预防流行性感冒：大青叶、贯众各500克，混合，加水5000毫升，煎成2000毫升。成人每次100毫升，日服3～4次，小儿酌减，连服5天。(《全国中草药汇编》)②治流行性感冒：大青叶、板蓝根各30克，薄荷6克，煎水，当茶饮。(《湖北中草药志》)③治咽炎，急性扁桃体炎，腮腺炎：大青叶、鱼腥草、玄参各30克，水煎，分3次服。(《湖北中草药志》)④治无黄疸型肝炎：大青叶60克，丹参30克，大枣10枚。水煎服。(《山东中草药手册》)⑤治唇边生疮，经年不瘥：取大青叶十斤，绞取汁，洗之。(《圣惠方》)最近更新时间：2018-06-23']
['梅花'],['蔷薇科植物梅Prunus mume (Sieb.) Sieb. et Zucc.的花蕾。'],['类球形，直径3～6毫米，有极短的花梗。苞片数层，鳞片状，长3.5毫米。宽至2毫米，暗棕色，有短毛。萼片5，广卵形，直径约4毫米，灰绿色或棕色，有毛。花瓣5或多数，阔卵圆形，长约4毫米，宽约5.5毫米，黄白色。雄蕊多数，雌蕊1，子房着生于凹陷的花托上，表面密生细毛。体轻。气清香，味微苦、涩。'],['性平，味微酸。归肝经、胃经、肺经。'],['开郁和中、化痰、解毒。属理气药。'],['用量2.5～4.5克，煎服。用治肝胃气滞所致胁肋胀痛、脘腹痞痛、暖气纳呆、梅核气等。'],['煎剂对金黄色葡萄球菌，大肠、伤寒、副伤寒、痢疾、结核等杆菌及皮肤真菌均有抑制作用，且能减少豚鼠蛋白质过敏性休克死亡的发生。'],['含挥发油，主要有苯甲酸醛、苯甲醇、4-松油烯醇、棕榈酸、苯甲酸和异丁香油酚等，还含有黄酮类化合物芦丁、槲皮素、绿原酸、苯甲醛、苯甲醇等成分。'],['尚不明确。'],['①治咽喉异物感，上部食管痉挛：梅花、玫瑰花各3克。开水冲泡，代茶常饮。(《浙江药用植物志》)②治妊娠呕吐：梅花6克，开水冲泡，代茶饮。(《浙江药用植物志》)③治瘰疬：鸡蛋开一孔，入绿萼梅花将开者七朵，封口，饭上蒸熟，去梅花食蛋，每日1枚。七日痊愈。(《纲目拾遗》)④治痘疹：每年腊月清晨，摘带露绿萼梅一百朵，加上白糖，捣成小饼，令食之。(《不药良方》)⑤治唇上生疮：白梅瓣贴之，如开裂出血者即止。(《赤水玄珠》)最近更新时间：2018-06-23']
['槐花'],['互科植物槐Sophora japonicaL.的花及花蕾。前者习称“槐花”，后者习称“槐米”。'],['槐花：皱缩而卷曲，花瓣多散落。完整者花萼钟状，黄绿色，先端5浅裂；花瓣5，黄色或黄白色，1片较大，近圆形，先端微凹，其余4片长圆形。雄蕊10枚，其中9个基部连合，花丝细长。雌蕊圆柱形，弯曲。体l轻。无臭，味微苦。槐米：卵形或椭圆形，长2～6毫米，直径2～3毫米。花萼下部有数条纵纹。萼的上方为黄白色未开放的花瓣。花梗细小。体轻，手捻即碎，无臭，味微苦涩。'],['性微寒，味苦。归肝经、大肠经。'],['凉血止血、清肝泻火。属止血药下属分类的凉血止血药。'],['用量5～9克，水煎服。用治便血、痔血、血痢、崩漏、吐血、衄血、肝热目赤、头痛眩晕。'],['抗菌，凝血，止血。药理研究表明，所含芸香苷及其苷元槲皮素能保持毛细血管的正常张力，降低其通透性，可使因脆 性增加而出血的毛细血管恢复正常弹性。槲皮素可以扩张冠状血管，改善心肌循环，增强心的收缩力和输出量;并减少心率。有抗炎、解痉和抗溃疡作用，以及对细菌、病毒和真菌均有抑制作用。'],['含芸香苷(芦丁)10%～28%。以花蕾中含量最高，开放后含量减少。另含三萜皂苷、葡萄糖、葡萄糖醛酸、鼠李糖、异鼠李糖-3-芸香糖苷、山柰酚-3-芸香糖苷、槲皮素、赤豆皂苷、槐花皂苷、槐花二醇等成分。'],['脾胃虚寒及阴虚发热而无实火者慎服。'],['①治大肠下血：槐花、荆芥穗等分。为末，酒服。(《经验方》)②治脱肛：槐花、槐角等分炒香黄，为细末，用羊血蘸药，炙热食之，以酒送下。或以猪膘去皮，蘸药炙服。(《百一选方》)③治小便尿血：槐花(炒)、郁金(煨)各30克。为末，每服6克。淡豉汤下。(《箧中秘宝方》)④治血淋：槐花烧过，去火毒，杵为末。每服3克，水酒送下。(《滇南本草》)⑤治血崩：陈槐花30克，百草霜15克。为末，每服9～12克，温酒调下(《良朋汇集》槐花散)⑥治白带不止：槐花(炒)、牡蛎(煅)等分。为末，每酒服9克，取效。(《摘玄方》)⑦治吐血不止：槐花不拘多少。火烧存性。研细，入麝香少许。每服9克，温糯米饮调下。(《圣济总录》槐香散)⑧治中风失音：槐花一味炒香熟，三更后床上仰卧，随意服。(《世医得效方》独行散)最近更新时间：2018-06-23']
['蒲黄'],['香蒲科植物水烛香蒲Typha angustifoliaL.的花粉。'],['黄色粉末，质轻，入水飘浮水面，手捻之有滑润感，易附于手指上。气微，味淡。草蒲黄为蒲黄花粉与花丝、花药的混合物，花丝黄棕色，不光滑。在显微镜下，可见花粉粒单生，类球形，直径24～30微米，表面有似网状雕纹，单萌发孔不甚明显。'],['性平，味甘。归肝经、心经。'],['止血、化瘀通淋。属止血药分类下的化瘀止血药。'],['用量4.5～9克。外用适量，研末撒或调敷。用治各种出血症、瘀滞痛症，如瘀滞胸痛、胃脘疼痛以及产后瘀痛、痛经；血淋、血痢等。'],['具有改善心肌微循环、降血脂及抗动脉粥样硬化、促进凝血作用，兴奋子宫平滑肌，对肠道平滑肌有解痉作用，抑制细胞免疫和体液免疫，有抗炎、抗菌、抗过敏、溶血作用。'],['主要含黄酮及甾类成分。此外，尚含有挥发油、多糖、酸类、香蒲新苷、山柰酚、异鼠李素、柚皮素、山柰酚-3-阿拉伯糖苷、3-谷固醇和烷类等化合物。'],['孕妇忌服。'],['①治妇人月经过多，血伤漏下不止：蒲黄(微炒)90克，龙骨75克，艾叶30克。上三味，捣罗为末，炼蜜和丸，梧桐子大。每服二十丸，煎米饮下，艾汤下亦得，日再。(《圣济总录》蒲黄散)②治血崩：蒲黄、黄芩各30克，荷叶灰15克。为末。每服9克，空心酒调下。(《卫生易简方》)③治咯血，吐血，唾血及治烦躁：生蒲黄、干荷叶等分。上为末，每服9克，浓煎桑白皮汤，放温调下，食后。(《卫生宝鉴》恩袍散)④治鼻衄，出血过多，昏迷欲死，诸药不效：生蒲黄6克，青黛1.5克，生藕汁调作一服，即验。(《朱氏集验方》)最近更新时间：2018-06-22']
['款冬花'],['菊科植物款冬Tussdago farfaraL.的花蕾。'],['长圆棒状，单生或2～3个基部连生，习称“连三朵”，长1～2.5厘米，直径0.5～1厘米。上端较粗，下端渐细或带有短梗，外面被有多数鱼鳞状苞片。苞片外表面紫红色或淡红色，内表面密被白色絮状茸毛。体轻，撕开后可见白色茸毛。气香，味微苦而辛，久嚼似棉絮。'],['性温，味辛、微苦。归肺经。'],['润肺下气、止咳化痰。属化痰止咳平喘药下属分类的止咳平喘药。'],['用量5～9克；或熬膏；或入丸、散。外用：适量、研末调敷。临床上用治新久咳嗽、喘咳痰多、劳嗽咳血。主要用于咳喘的治疗，特别用于慢性支气管炎咳嗽，并用于哮喘及哮喘性支气管炎。'],['具有镇咳、祛痰、平喘、呼吸兴奋、收缩平滑肌、收缩血管、减慢心率、阻断钙离子通道作用，具致癌活性。动物试验证明，有较强的镇咳作用，水煎剂能促进呼吸道分泌物增加，有较明显的祛痰作用。'],['含款冬二醇、山金车二醇、款冬花碱、克氏千里光碱、金丝桃苷、α-十一碳烯、1-十一碳烯-3-醇、款冬花内酯、款冬二醇等成分。'],['阴虚及肺火盛者慎服。'],['①治肺虚咳嗽：人参、白术、款冬花(去梗)、甘草(炙)、川姜(炮)、钟乳粉。上各15克为细末，炼蜜丸。每30克十丸。每服一丸，米饮下，食前。(《传信适用方》款冬花膏)②治喘嗽不已，或痰中有血：款冬花、百合(蒸焙)。上等分为细末，炼蜜为丸，如龙眼大。每服一丸，食后、临卧细嚼，姜汤咽下，噙化尤佳。(《济生方》百花膏)③治肺痈，嗽而胸满，振寒，脉数，咽干，大渴，时出浊唾腥臭，臭久吐脓如粳米粥状者：款冬花(去梗)45克，甘草(炙)30克，桔梗60克，薏苡仁30克。上作十剂，水煎服。(《疮疡科经验全书》款花汤)④治口中疳疮：款冬花、黄连等分。为细末。用唾津调成饼子。先以蛇床子煎汤嗽口，乃以饼子傅之。(《纲目》引《杨诚经验方》)⑤治痔漏：款冬花蕾研末，水调敷。《湖南药物志》)最近更新时间：2018-06-22']
['密蒙花'],['马钱科植物密蒙花Buddleja officinalis Maxim.的花蕾及其花序。'],['多为花蕾密聚的花序小分枝，呈不规则圆锥状，长1.5～3厘米。表面灰黄色或棕黄色，密被茸毛。花蕾呈短棒状，上端略大，长0.3～0.1厘米，直径0.1～0.2厘米；花萼钟状，先端4齿裂；花冠筒状，与萼等长或稍长，先端4裂，裂片卵形；雄蕊4枚，着生在花冠管中部。质柔软。气微香，味微苦、辛。'],['性微寒，味甘。归肝经。'],['清热养肝泻火、明目退翳。属清热药下属分类的清热泻火药。'],['用量3～9克，水煎服。用治目赤肿痛、多泪羞明、眼生翳膜、肝虚目暗、视物昏花。'],['药理研究结果表明，密蒙花可降低小肠及皮肤毛细管的通透性，对细胞毒素有抑制作用；抗炎；解痉；利尿；促进胆汁分泌；缓解肠痉挛，促进胆汁分泌及胆道平滑肌松弛，其解痛效力为罂粟碱的75%，并有利尿作用。'],['含密蒙花苷、醉鱼草苷、洋丁香酚苷、密蒙花苷A、密蒙花苷B等成分。'],['目疾属阳虚内寒者慎服。'],['①治目胞湿烂，浸淫多泪：密蒙花9克，白术6克，葳蕤15克。水煎服。(《本草汇言》)②治眼翳障：密蒙花、黄柏根(洗，锉)各30克。上二味，捣罗为末，炼蜜和丸，如梧桐子大。每服十丸至十五丸，食后、临卧熟水下，或煎饧汤下。(《圣济总录》密蒙花丸)③治一切目病，因积视久，专睛著视，有劳目睛，以致昏胀，肿痛不明者：密蒙花15克，甘菊花6克，麦门冬(去心)24克，当归身4.5克，玉竹12克。水煎服。(《本草汇言》)④治肝虚，视力减退：密蒙花12克，枸杞12克，菊花12克，生地黄12克，楮实子12克，木瓜6克，秦皮6克。炼蜜为丸，每服9克，日服3次。(《四川中药志》1982年)⑤治百日咳：密蒙花兑米汤油、蜂蜜或糖蒸吃。也可将密蒙花塞入去盖去心之宝珠梨中加蜂蜜蒸吃。(《昆明民间常用草药》)⑥治夜盲：密蒙花15克，青葙子15克，草决明12克。各为细末，放猪肝内煮热后焙干，加车前子、乌贼骨、夜明砂各9克。共为细末，早晚各服9克，开水送服，连服3剂。(《甘肃中医验方集锦》)最近更新时间：2018-06-22']
['旋覆花'],['菊科植物旋覆花Inula japonica Thunb.的头状花序。'],['花序呈球形或扁球形，直径1～1.5厘米，多松散。总苞半球形，直径1.3～1.5厘米，总苞片5层，最外层苞片常叶质而长，或上部叶质下部革质，内层苞片干膜质，较窄。舌状花1轮.雌性，花冠黄色，长0.9～1.4厘米，宽0.8～1毫米，舌片带状，开展，顶端有3齿。花柱细长，顶端2裂，分枝稍扁，子房圆柱形，中部膨大，长0.8～1毫米，具10条纵棱，棱部被毛。冠毛1轮，22～30条，白色粗糙，长4～5毫米。管状花两性，黄色，密集于中央，花冠长4～5毫米，顶端具5个尖裂片。雄蕊5枚，扁平带状，花药聚合成筒状，基部延伸成长尾，花丝下部贴生于花冠上部游离。气微，味苦、辛、咸。'],['性微温，味苦、辛、咸。归肺经、胃经。'],['降气、消痰、行水、止呕。属化痰止咳平喘药下分类的温化寒痰药。'],['用量3～9克，煎汤内服，治疗风寒咳嗽、痰饮蓄结、胸膈痞满、喘咳痰多、呕吐噫气、以下痞硬。包煎。'],['具有镇咳祛痰、平喘、抗炎作用、抗菌、杀虫等作用。'],['含大花旋覆花素、旋覆花素、槲皮素、胡萝卜苷、去乙酰旋覆花次内酯、旋覆花次内酯、环醚大花旋覆花内酯、氧化大花旋覆花内酯等成分。'],['阴虚劳嗽，风热燥咳者禁服。'],['①治咳嗽气逆：旋覆花9克，半夏6克，前胡6克，苏子9克，生姜9克。水煎服。(《青岛中草药手册》)②治风痰呕逆，饮食不下，头目昏闷：旋覆花、枇杷叶、川芎、细辛、赤茯苓各3克，前胡4.5克。姜、枣水煎服。(《妇人良方》旋覆花汤)③治痰饮在胸膈，呕不止，心下痞硬者：旋覆花、半夏、茯苓、青皮。水煎服。(《产科发蒙》旋覆半夏汤)④治伏暑、湿温，胁痛或咳或不咳，无寒，但潮热或寒热为疟状：生香附9克，旋覆花9克(绢包)，苏子霜9克，广陈皮6克、半夏15克，茯苓块9克，薏苡仁15克。水八杯，煮取三杯，分三次温服。(《温病条辩》香附旋覆花汤)⑤治风湿痰饮上攻，头目眩胀：旋覆花、天麻、甘菊花各等分，为末，每晚服6克，白汤下。(《本草汇言》引《方脉正宗》)⑥治唾如胶漆稠黏，咽喉不利：旋覆花为末，每服6～9克，水煎，时时呷服。(《卫生易简方》)⑦治小便不行，因痰饮留闭者：旋覆花一握。捣汁。和生白酒服。(《本草汇言》引《方脉正宗》)最近更新时间：2018-06-22']
['啤酒花'],['桑科植物啤酒花Humulus lupulus L.的雌花序。'],['松球形，长3～6厘米，黄绿色，有多数叶状苞片，苞片椭圆形，覆瓦状排列，饮片内侧基部生有l对雌花，无花被，花柱2裂，具大量黄粉。体轻，质脆。气香，味苦。'],['性微凉，味苦；无毒。归肝经、胃经。'],['健胃消食、利尿安神。属消食药。'],['用量1.5～5克，内服煎汤或泡水当茶饮，治疗消化不良、腹胀、浮肿、膀胱炎、肺结核、失眠。'],['具有抗病原微生物、镇静催眠、雌性激素样等作用。浸膏、蛇麻酮、氢草酮试管内能抑制多种革兰氏阳性细菌的生长，对致病性、非致病性真菌及放线菌抑制效力极弱；蛇麻酮、氢草酮具有镇静作用；树脂中的β-酸具有较强的雌性激素样作用；酿造啤酒时加入本品，不仅由于其挥发油具有香味，而且有防腐作用；乙醇提取物对离体兔空肠、豚鼠十二指肠、大鼠子宫平滑肌有强大的解痉作用，并能拮抗乙酰胆碱、氯化钡的致痉作用。毒性：与本品接触者易发生皮炎，主要由鲜花粉所致；蛇麻酮能引起胃肠道反应，如食欲不振、烧灼感、恶心、腹痛、呕吐、腹泻等；动物争性毒性实验，于死亡前有兴奋及抽搐现象，死于呼吸困难，肝肾肺有明显的充血或出血现象。'],['含氢草酮、蛇麻酮、鞣质、挥发油、��草二烯酮、��草烯酮-Ⅱ、γ-去二氢菖蒲烯、紫云英苷、异槲皮苷、芸香苷、山柰酚-3-鼠李糖基二葡萄糖苷、槲皮素-3-鼠李糖二葡萄糖苷等成分。'],['花粉过敏者忌服。'],['①治消化不良，腹胀：啤酒花、神曲各9克，土木香6克。水煎服。(《新疆中草药》)②治胸腹胀满：啤酒花、枳壳、木香、炒山楂各15克。水煎服。(《青岛中草药手册》)③治肺结核，膀胱炎：牛蒡根、车前草、板蓝根各9克，啤酒花6克，黄芩15克。水煎服。(《新疆中草药》)④治气管炎：啤酒花1.5～3克，泡茶饮。或啤酒花根、贝母、桔梗、紫菀各9克，水煎服。(《青岛中草药手册》)⑤治失眠：啤酒花15克，酸枣仁9克，合欢花15克，远志9克，煎服。(《青岛中草药手册》)最近更新时间：2018-06-22']
