名称,简介,药性,功效,适应症
铁皮石斛,又名：黑节草、云南铁皮。,味甘，性微寒。,铁皮石斛具有生津作用，主要表现为促进腺体分泌和脏器运动;可降低链脲霉素诱发糖尿血糖值;铁皮石斛颗粒(TPSH)可促进荷瘤动物巨噬细胞的吞噬功能，增强T淋巴细胞的增殖和分化及NK细胞的活性，并能明显提高荷瘤动物的血清溶血素值，提示TPSH无论是对非特异性免疫功能，或是特异性细胞免疫以及体液免疫功能，均有一定的提高作用。,适宜在凉爽、湿润、空气畅通的环境生长…
灯笼草,茄科植物，具有清热解毒，消炎利水的功效。,味苦，性凉。,清热杀虫，止痛消肿。,主治感冒发热，腮腺炎，支气管炎，急性肾盂肾炎，睾丸炎，泡疹，疖疮，疝气痛。…
葡萄干,是在日光下晒干或在阴影下晾干的葡萄的果实。,甘;酸;平。入肺、脾、肾经。,葡萄干中的铁和钙含量十分丰富，是儿童、妇女及体弱贫血者的滋补佳品，可补血气、暖肾，帮助改善贫血，血小板减少;葡萄干内含大量葡萄糖，对心肌有营养作用，有助于冠心病患者的康复;另外还含有多种矿物质和维生素、氨基酸，常食对神经衰弱和过度疲劳者有较好的补益作用，还是妇女病的食疗佳品。,补气血;强筋骨;利小便。主气血虚弱;肺虚咳嗽;心悸盗汗;烦渴;风湿痹痛;淋病;不肿;痘疹不透…
东革阿里,野生灌木植物，具有清热，截疟，利湿退黄，壮阳的功效。,味苦，性凉。,提升体力与活力、减轻疲劳、杀菌、抗溃疡、解热。,高血压、糖尿病、癌症。
枫斗,属气生兰科草本植物，具有生津益胃，养阴清热除烦、护肝利胆的功效。,甘，微寒。,清虚热、明亮眼目、强筋壮骨。,阴伤津亏，口干烦渴，食少干呕，病后虚热，目暗不明。
龟甲胶,为长方形或方形的扁块，深褐色，具有滋阴，养血，止血的功效。,咸、甘，凉。,滋阴、养血。,阴虚潮热，骨蒸盗汗，腰膝酸软，血虚萎黄，崩漏带下。
红曲,真菌类子囊菌纲曲霉目曲霉科，具有消食和胃，活血止痛，健脾的功效。,甘，温。,活血化瘀，健脾消食。,饮食停滞，胸膈满闷，消化不良。
香蕉皮,"""香蕉皮""是香蕉的表皮。",性寒。,滋润皮肤、抑制细菌和真菌滋生。,可以治口腔发炎、改善痔疮及便血、治疗肌肤瘙痒、美白肌肤、治疗冻疮。…
鸡肾,鸡的一种器官，具有补肝、益肾等功效。,性味甘平。,具有补血和养血安神的作用,耳聋耳鸣、头晕眼花、咽干盗汗、肾亏遗精等。…
姜厚朴,为木兰科植物，具有宽中理气、化湿开郁、消积平喘的功效。,苦、辛，温。,燥湿消痰，下气除满。,胸脘胀闷、腹部隐痛、肠鸣便溏、纳呆、或呕吐痰涎。…
焦槟榔,为槟榔的炮制加工品，具有消食导滞的功效。,苦、辛，温。,消食排气、润肠通便。,用于食积不消，泻痢后重。…
金蝉花,虫草科，有降低血、尿肌酐，提高内生肌酐的功效。,味甘寒，无毒。,提高免疫力、抗疲劳、保肾、改善睡眠、抗肿瘤、保肝、抗辐射和明目等。,呼吸困难、肺纤维化、血管硬化、各类肝病、各类肾病。…
金丝皇菊,皇菊，菊花茶中的极品，药性稍弱，更适合饮用和食用。,味甘苦，性微寒。,清热去火、改善口干、目涩、抗氧化，防辐射，延缓衰老。,眼睛疲劳、视力模糊。。…
七叶一枝花,华重楼、七叶楼、铁灯台、草河车，为百合科植物。,性味苦寒，有小毒。,有清热解毒，消肿止痛，晾肝定惊之功效。,用于流行性肋腺炎、扁桃腺炎、咽喉肿育、中耳炎、流行性乙型脑炎、流行性脑脊髓炎等。…
荆条蜜,蜜源为荆条，具有止咳润肺、健胃通便、防暑清心、延年益寿的功效。,性甜。,美容、健体、润燥、祛风解毒、润畅通便、促进消化、助吸收、开胃健脾。,气血不足、伤风头痛、目赤、失眠者。…
橘皮,为芸香科植物橘及其栽培变种的成熟果皮，有理气调中，燥湿化痰的功效。,辛苦，温。,理气，调中，燥湿，化痰。,脾胃气滞，脘腹胀满，呕吐，或湿浊中阻所致胸闷、纳呆、便溏。…
枯矾,又名煅白矾，无色，具有消痰，燥湿，止泻，止血的功效。,味酸，寒。,除风去劳，消痰止渴。,治癫痫，喉痹，疚涎壅甚，肝炎，黄疸，黄肿等。…
苦参栓,苦参含苦参碱、氧化苦参碱等多种生物碱，是一类有希望的抗癌药物。,味苦，性寒。,抗菌消炎,宫颈糜烂、赤白带下、滴虫性阴道炎、阴道霉菌感染等妇科慢性炎症。…
辣木子,属被子门辣木科辣木属植物，有降低血糖、改善睡眠、清肠及促进新陈代谢的功效。,性甘味甜。,降血压降血脂、保肝抗肿瘤。,高血压、高血脂、糖尿病、痛风。
痢特灵,痢特灵，又名呋喃唑酮，是一种硝基呋喃类抗生素。,味苦，性寒。,抗菌消炎,痢疾、肠炎、胃溃疡、伤寒、副伤寒、贾第鞭毛虫病。…
良姜,为姜科植物高良姜的干燥根茎，具有温胃散寒，消食止痛的功效。,味辛，性温。,温胃，祛风，散寒，行气，止痛。,用于脘腹冷痛，胃寒呕吐，嗳气吞酸。…
芦荟膏,芦荟膏又指芦荟胶，是以“冷冻稳定法”技术从天然草本植物“芦荟”中萃取而成的一种产品。,味苦，性寒。,有延缓皮肤衰老、消炎杀菌、营养保湿的功效。,适用于割伤、擦伤、伤口溃烂、烫伤、皮肤痕痒、青春痘、黑斑、蚊虫叮咬、牙痛、唇角溃烂、手术疤痕等。…
鹿尾巴,鹿科动物的尾部，具有壮腰益肾、增强体力、消除疲劳、能促进血液循环的功效。,：温;甘、咸。,添精养肾、健脑益智、祛病强身、益寿延年。,肾亏精少之头昏耳鸣、骨蒸潮热、盗汗、阳痿遗精、久咳气喘、风湿病。…
吗丁啉,吗丁啉，又名多潘立酮片，为胃肠促动力药类非处方药药品。,味苦，性平。,可使餐后上腹胀、烧心及恶心、呕吐等症状完全消失或明显减轻。,消化不良，腹胀、嗳气、恶心、呕吐。…
蔓菁,为十字花科植物芜菁的块根及叶，具有开胃下气，利湿解毒的功效。,苦辛甘，平。,利五脏，轻身益气，令人肥健，有下气治嗽，止消渴，明目，利小便。,食积不化，黄疸，消渴，热毒风肿，疔疮，乳痈。…
独角莲,属多年生草本植物，块茎直径2-4厘米大小不等，颈部须根多。,性辛、温。,治毒蛇咬伤、瘰疬、跌打损伤。,治中风痰壅，口眼歪斜、破伤风;治跌打损伤、淋巴结核。…
毛芋头,为天南星科植物芋的块茎，,甘辛，平。,增强免疫力、洁齿防龋、解毒防癌、美容乌发、补中益气。,消疬散结，治瘰疬，肿毒，腹中癖决，牛皮癣，汤火伤。…
蜜糖,即蜂蜜，具有强健身体和延年益寿的功效。,性味甘、平。,解毒、抗菌、消炎、滋润、降血压、护肝、缓解疼痛等。,肺燥咳嗽、体虚、肠燥便秘、口疮、水火烫伤、胃脘疼痛。…
南瓜子仁,为葫芦科植物南瓜的种子，具有缓解静止性心绞痛、降压的功效。,甘，温。,杀虫;下乳;利水消肿。,治绦虫，蛔虫，产后手足浮肿，百日咳，痔疮。…
青皮草,禾本科，多年生草本植物，具有抗癌、抗氧化、延缓衰老的功效。,味苦性寒。,修复细胞、提高人体免疫力,汤火伤、跌打损伤。…
苦木,茎类圆形，粗达30cm，或切片厚1cm。表面灰绿色或淡棕色，散布不规则灰白色斑纹。,气微，味苦。,清热，祛湿，解毒。,用于风热感冒，咽喉肿痛，腹泻下痢，湿疹，疮疖，毒蛇咬伤。…
沙参玉竹,沙参，别名南沙参，以根入药，富含维生素A类物质和粘液质。。,味甘，性寒。,清热养阴，润肺止咳。,气管炎，百日咳，肺热咳嗽，咯痰黄稠。…
生牡蛎,牡蛎科动物长牡蛎、大连湾牡蛎或近江牡蛎的贝壳，有重镇安神，潜阳补阴，软坚散结的功效。,性咸，微寒。,敛阴，潜阳，止汗，涩精，化痰，软坚。,用于惊悸失眠，眩晕耳鸣，瘰疬痰核，症瘕痞块。…
双花,为忍冬科植物忍冬，具有清热解毒，凉散风热的功效。,性味甘，寒。,清热，解毒。,痈肿疔疮，喉痹，丹毒，热毒血痢，风热感冒，温病发热。…
松树叶子,为松科植物油松或马尾松、云南松等的叶，具有祛风燥湿、杀虫、止痒的功效。,性味苦、性温。,祛风燥湿、杀虫止痒、活血安神。,主风湿痿痹、脚气、风疹瘙痒、神经衰弱、慢性肾炎、高血压病、预防乙脑、流感。…
田三七,为五加科植物三七的干燥根，具有散瘀止血，消肿定痛。,性甘、微苦，温。,活血祛淤，止血，消肿止痛。,咯血，吐血，衄血，便血，崩漏，外伤出血，胸腹剌痛，跌扑肿痛。…
土瓜,为旋花科植物土瓜的块根，具有清肝利胆，润肺止咳的功效。,性味甘淡，平。,清热、除湿、止咳、健脾。,主黄疸;慢性肝炎、肺热咳嗽、下血、乳少、带下、小儿疳积、水火烫伤。…
五苓散,五苓散治太阳腑，泽泻白术与二苓，温阳化气添桂枝，利便解表治水停。,味甘，性热。,温阳化气，利湿行水。,膀胱化气不利，水湿内聚引起的小便不利，水肿腹胀，呕逆泄泻，渴不思饮。…
逍遥散,逍遥散，中医方剂名，为和解剂，具有调和肝脾，疏肝解郁，养血健脾之功效。,味苦，性热。,主治肝郁血虚脾弱、两胁作痛、头痛目眩、口燥咽干、神疲食少、或月经不调、乳房胀痛。,慢性肝炎、肝硬化、胆石症、胃及十二指肠溃疡、慢性胃炎、经前期紧张症。…
亚麻子,为亚麻科亚麻属植物亚麻的干燥成熟种子，具有润燥，祛风的功效。,性味甘、平。,通大小肠，解毒止痛。治肠热、丹毒。,肠燥便秘、皮肤干燥瘙痒、毛发枯萎脱落。…
牛肝菌,牛肝菌，是牛肝菌科和松塔牛肝菌科等真菌的统称，大部分品种均可食用。,味微甘，性温。,具有清热解毒、消食和中、祛风寒、舒筋络的功效。,适用于主食少腹胀、腰腿疼痛、手足麻木、四肢抽搐，还可用以治妇女白带异常。…
洋参,为五加科植物西洋参的干燥根，具有补气养阴，清热生津的功效。,性味甘、微苦，凉。,益肺阴、清虚火、生津止渴。,气虚阴亏、内热、咳喘痰血、虚热烦倦、消渴、口燥咽干。…
一点红,为菊科一点红属植物，具有清热解毒，散瘀消肿的功效。,性味苦，凉。,清热解毒，散瘀消肿，凉血。,肠炎、痢疾、尿路感染、上呼吸道感染、结膜炎、口腔溃疡、疮痈。…
裸藻,裸藻是古代原生动物眼虫的植物学名称，又称绿虫藻，同时具有动物与植物两种特性。,味甘，性寒。,调整肠胃、保护肝脏、净化血液，对过敏性皮炎亦有缓和作用。,用于便秘、宿便、癌症、艾滋病等及防治过敏症状。…
银杏果,为银杏科植物的干燥成熟种子，具有敛肺定喘，止带浊，缩小便的功效。,性味甘、苦、涩，平;有毒。,敛肺定喘;止带缩尿。,痰多喘咳，带下白浊，遗尿尿频。…
枣,为鼠李科枣属植物枣的干燥成熟果实，具有补中益气，养血安神的功效。,性味甘，温,补脾益气，养心安神。,脾虚食少，乏力便溏，妇人脏躁。…
黑玛卡,黑玛卡也称黑玛咖、黑金根。是一种生长在云南丽江高原山区的神秘野果，别名为甜菜根或秘鲁人参，为十字花科独荇菜属。,味苦，性温。,改善气血、缓解更年期、提神醒脑、消除疲劳、补充体力。,阳痿早泄、无精少精、气虚体弱、心烦心慌邓症状。…
枣皮,是李属落叶小乔木被子植物，具有补益肝肾，涩精固脱的功效。,性味酸，平。,补肝肾，涩精气，固虚脱。,眩晕耳鸣、腰膝酸痛、阳痿遗精、遗尿尿频、崩漏带下、大汗虚脱、内热消渴。…
枣仁,为鼠李科植物酸枣的干燥成熟种子，具有补肝，宁心，敛汗，生津的功效。,性味甘、酸、平。,养肝，宁心，安神，敛汗。,虚烦不眠，惊悸多梦，体虚多汗，津伤口渴。…
炙甘草,为甘草的炮制加工品，具有补脾和胃，益气复脉的功效。,性味甘，平。,和中缓急，润肺，解毒。,脾胃虚弱，倦怠乏力，心动悸，脉结代。…
猪苦胆,为猪科动物猪的胆，具有清热、润燥、解毒的功效。,性味苦、性寒。,镇咳、平喘、消炎、抗过敏等。,热病里热燥渴、便秘、黄疸、百日咳、哮喘、泄泻、痢疾、目赤、喉痹、聤耳、痈肿疔疮。…
猪肾,为猪科动物猪的肾，具有补肾疗虚、生津止渴的功效。,性味咸、性平。,补肾益阳、利水。,肾虚腰痛、水肿、耳聋等症。…
壮阳果,壮阳果简介：学名厚鳞柯，又名青果、补肾果，产于我国福建、湖南、贵州三省南部等地。,壮阳果的药性：味甘酸，性平。,壮阳果的功效与作用：有温补气血、温肾壮阳、祛风湿、强腰的功效。,壮阳果适应症：适用于夜出虚汗、妇女贫血、头晕目眩、高血压、肩周炎、老年骨质增生、四肢麻木等症。…
紫苏子,别名苏子、黑苏子、野麻子、铁苏子、任子。,辛，温。归肺、脾经。,可增强学习记忆功能，其有效成分是紫苏子油，能促进小鼠学习记忆功能；另外还有降血脂作用；有降血压作用；有抑制血小板聚集作用；有防腐、抗氧化作用，可用于食品和药物的长期贮存；还具有抗癌作用和抑菌作用。,降气消痰，平喘，润肠。用于痰壅气逆，咳嗽气喘，肠燥便秘。解表散寒，行气和胃。用于风寒感冒，咳嗽气喘，妊娠呕吐，胎动不安。又可解鱼蟹中毒…
桑黄,,桑黄简介：桑黄是一种真菌，因寄生于桑树而得名，在杨、柳、桦、栎等树干上也有生长。,桑黄的药性：味苦，性寒。,桑黄的功效与作用：抗肿瘤、护肝、降血糖、抗过敏、治疗痛风。
橘核,橘核是中国中药材的一种，它来源于福橘或者朱橘的种子，多在一些食品加工厂里收集，收集以后洗净，然后晒干。,味苦，性平。,止痛、散寒、养颜美容、帮助消化、脂降压。,用于疝气疼痛，睾丸肿痛，乳痈乳癖。…
大烟,为罂粟科罂粟属植物罂粟的干燥成熟果壳，具有敛肺、涩肠、止痛的功效。,性味酸、涩、平、有毒。,敛肺止咳、涩肠、定痛。,久咳劳嗽、喘息、泄泻、痢疾、脱肛、遗精、白带、心腹及筋疼痛。…
黄酒,黄酒主要是以糯米和黍米等谷物为原料，经过特定的加工酿造酿成的一类低度原汁酒。,味甘，性平，无毒。,帮助血液循环，促进新陈代谢，具有补血养颜、活血祛寒、通经活络的作用。,有效抵御寒冷刺激，预防感冒，黄酒还可作为药引子…
紫菜,紫菜是在海中互生藻类的统称，富含蛋白质和碘、磷、钙等。,味甘，性寒。,软坚散结，清热化痰、化痰软坚、清热利水、补肾养心。,瘿瘤、瘰疬、咳嗽痰稠、脚气、水肿、小便不利。…
马蹄,学名荸荠，沙草科荸荠属，又称水栗。别名南荠、乌芋，马荠，地粟，尾梨，地雷子，地力。,凉，甘。,能清肺热，又富含黏液质，有生津润肺、化痰利肠、通淋利尿、消痈解毒、凉血化湿、消食除胀的功效。,主治热病消渴、黄疸、目赤、咽喉肿痛、小便赤热短少、外感风热、痞积等病症，具有清热泻火的良好功效，应用于肺热咳嗽，痰浓难咳，既可清热生津，又可补充营养，最宜用于发烧病人…
柠檬水,柠檬是一种富含维生素C的营养水果，一般人都将之作为美容食品。,酸。,经常喝柠檬水有抗衰老的作用；喝柠檬水还可以起到预防心血管疾病的作用；柠檬水具有能缓解钙离子促进血液凝固的作用；喝柠檬水具有清新口气的功效；经常喝柠檬水还具有开胃消食、生津止渴的功效。,牙科医师表示，民众如果想喝柠檬水减肥，切记多刷牙，免得柠檬汁酸性物质残留在牙齿，到时候变成全口蛀牙，可得不偿失。柠檬水属酸性，不宜多喝…
苏和香,本品为金缕梅科枫香属植物苏合香树的树干渗出的香树脂，经加工精制而成。别名：苏合油、流动苏合香,辛，温。,开窃，辟秽，止痛。用于中风痰厥，猝然昏倒，胸腹冷痛，惊痫。,苏合香为刺激性祛痰药，并有较弱的抗菌作用，可用于各种呼吸道感染。本品有温和的刺激作用，用于局部可缓解炎症，如湿疹和瘙痒，并能促进溃疡与创伤的愈合…
别直参,别直参简介：学术名称朝鲜参、别直参(一般特指朝鲜半岛产的红参)。五加科植物人参带根茎的根，经加工蒸制而成。,：味甘，性温。,：大补元气，复脉固脱，补脾益肺，生津，安神。,：体虚欲脱，肢冷脉微、脾虚食少、肺虚喘咳、津伤口渴、内热消渴、久病虚羸、惊悸失眠、阳痿宫冷、心力衰竭、心原性休克。
灵芝孢子粉,灵芝孢子粉是灵芝在生长成熟期，从灵芝菌褶中弹射出来的极其微小的卵形生殖细胞即灵芝的种子。,味甘，性温。,增强免疫，保肝抗癌，降血脂，养心安神。,灵芝孢子粉适应症：高血压高血脂、失眠健忘、糖尿病、心脑血栓等病症。
芦苇根,芦苇根为禾本科植物芦苇的根茎、芦苇根全年均可采挖，除去芽、须根及膜状叶，鲜用或晒干。,味甘，性寒。,镇静、镇痛、抗氧化、清热泻火、生津止渴、除烦、止呕利尿。,热病烦渴、胃热呕吐、肺热咳嗽、肺痈吐脓、热淋涩痛。…
昆仑雪菊,又名两色金鸡菊， 在昆仑山一带民间又称清三高花，原产美国中西部地区，中国西部地区广为栽培的一种植物，学名双色金鸡菊。,味甘，性平。,淡斑祛痘、美白养颜、滋润肌肤、抗癌、化痰止咳，理气解郁。,急、慢性痢疾，目赤肿痛、湿热痢、痢疾…
山奈,别名沙姜、山辣，是姜科植物山柰的干燥根茎，采挖于冬季，洗净、除去须根，切片晒干即可。,味辛，性温。,温中化湿，行气止痛、开胃消食、抑菌。,妇科疾病、停食不化、心腹冷痛，肠鸣腹泻者。…
花菇,花菇、别名冬菇。花菇的顶面呈现淡黑色，菇纹开暴花，白色，菇底呈淡黄色。花菇肉厚、细嫩、鲜美，食之有爽口感。,味甘，性平。,提高免疫力、延缓衰老、防癌抗癌。,糖尿病、肺结核、传染性肝炎、神经炎、消化不良、便秘。…
鹿胎膏,鹿胎膏，补气养血，调经散寒，用于气血不足，虚弱消瘦，月经不调等症效果很好。,味甘，性温。,调经散寒、补气补虚、美容养颜、调节内分泌、增强体质。,子宫虚冷、内分泌失调、痛经闭经、不孕不育、习惯性流产、血色不正、白带异常。。…
金丝楠木,金丝楠木少树结，一般为黄色、金黄色，具清淡的香味，质地细腻，香气独特。,味辛，性微温。,提神醒脑、消炎、止痛、杀菌、防虫。,霍乱心腹胀痛、水肿自足起、聤耳。…
大麻子,大麻子 原名:天茄花【异名】山茄花。生命力强，药用价值高。,味辛，性温。,消肿止痒、治疗脚气、止痛镇静。,半身不遂，失音不语、口目歪斜、风气头痛、鼻塞不通、急性喉痹、牙关咬紧。…
黄苓,,味苦，性寒。,刺激、强健神经、镇静、保肝利胆、清热解毒,温热病、上呼吸道感染、肺热咳嗽、湿热黄胆、肺炎、痢疾、咳血、目赤。…
桃胶,,味苦，性平。,养颜、护肤、生津止渴、止痛镇痛。,石淋、血淋、痢疾、虚热作渴、糖尿病、胃痛、胃炎。…
百香果皮,,味甘酸，性平。,排毒养颜、塑造体态、延缓衰老、防癌抗癌、清肺润燥、安神止痛、和血止痢。,结肠炎、肠胃炎、痔疮、慢性哮喘。…
草决明,,味微甘，性平。,抗菌、降压、降血脂、抗血小板聚集。,青光眼、白内障、结膜炎、慢性便秘患者、高脂血症、高血压病。…
深海鱼油,,味苦，性寒。,健脑益智、保护心血管、抗炎症、调解情绪、增强机体免疫力。,关节炎、痛风、哮喘、心脏病、动脉硬化症状、三高、糖尿病和并症。…
花生叶,"花生叶互生，叶面较光滑,叶背略显灰色，主脉明显,有茸毛。",性平，味甘。,治疗失眠、治疗高血压、镇定作用。,神经衰弱，夜不能寐，失眠多梦，易于惊醒，头胀痛，心悸健忘，食少。…
薰衣草,别名 香水植物，灵香草，香草，黄香草,味辛、甘，性平。能化湿和中，理气解郁,有健胃、发汗、止痛之功效，花汁有助皮肤调节，可促进上皮细胞组织的更新，平衡皮脂分泌;提神醒脑、杀菌、排菌、排毒，减少失眠，愉悦心情。家居柜橱驱虫;净化空气。,能促进细胞再生、加速伤口愈合，改善粉刺、脓肿、湿疹、平衡皮脂分泌，对烧烫灼晒伤有奇效，可抑制细菌、减少疤痕。是治疗伤风感冒、腹痛、湿疹的良药，改善失眠…
苜蓿,苜蓿一般指苜蓿属 ，本属约70余种，分布地中海区域、西南亚、中亚和非洲。我国有13种，1变种。,味苦，性平。,有清脾胃、清湿热、利尿、消肿的功效。,用于胃热烦闷、不欲饮食，湿热所致的小便不利、石淋或湿热发黄。…
苏梗,,味辛，性温,散表寒、行气宽中、行气安胎、解鱼蟹毒。,风寒感冒，咳嗽痰多、脾胃气滞，胸闷呕吐。…
常山,别名 黄常山、鸡骨常山、鸡骨风、风骨木、白常山、大金刀、蜀漆[叶]、互草、恒山、七叶、翻胃木、土常山。,寒、苦、 毒、入脾经、肝经。,除痰，截疟;治疟疾，瘰疬。,《本经》：主伤寒寒热，温疟，胸中痰结吐逆。《别录》：疗水胀，洒洒恶寒，鼠瘘。《药性论》：治诸疟，吐痰涎，去寒热，项下瘤瘿。《医学入门》：治疟母及腹中积聚，邪气痞结坚症…
瓜蒂,别名苦丁香、甜瓜蒂、香瓜蒂、瓜丁、甜瓜把,苦，寒，有毒。入脾、胃经。,催吐，退黄疸。用于食积不化，食物中毒，癫痫痰盛;外用治急、慢性肝炎，肝硬化。,试用于慢性活动性肝炎、慢性迁延性肝炎病人，能全面改善症状和体征，有明显的降转氨酶、胆红素等作用此外，还能提高慢性肝炎病人机体的非特异性细胞免疫力。偶有头晕、上腹部不适等不良反应，般不影响治疗…
胆矾,一般指五水硫酸铜，也被称作硫酸铜晶体，为了与“无水硫酸铜”区别，通常读作“五水合硫酸铜”，相对分子质量为249.5。俗称蓝矾、胆矾或铜矾。为铜的硫化物经氧化分解生成的次生矿物，可作为颜料及印染、电池、杀虫剂、木材防腐等方面的化工原料。,无臭，味苦而涩。,催吐，祛腐，解毒。,治风痰壅塞，喉痹，癫痫，牙疳，口疮，烂弦风眼，痔疮，肿毒的功效并且有一定的副作用…
藜芦,黑藜芦、山葱、大叶藜芦、棕包头。多年生草本、根茎短而厚;茎具叶、基部常有残存叶鞘裂成纤维状。,苦辛、寒、有毒、胃经、肺经、肝经。,治中风痰涌，风痫癫疾，黄疸，久疟，泄痢，头痛，喉痹，鼻息，疥癣，恶疮。,根及根茎入药，能催吐、祛痰、杀虫，主治中风痰壅、癫痫、喉痹等;外用治疥癣、恶疮、杀虫蛆…
雄黄,本品为硫化物类矿物雄黄族雄黄，主含二硫化二砷。采挖后，除去杂质。或由低品位矿石浮选生产的精矿粉。别名：明雄黄、黄金石、石黄,辛，温；有毒。,解毒杀虫，燥湿祛痰，截疟。用于痈肿疔疮，蛇虫咬伤，虫积腹痛，惊痫，疟疾。阴亏血虚及孕妇忌服。,雄黄中主要含有硫化砷，并含少量其他重金属。砷会先危害神经细胞，使中枢神经中毒，而产生一系列的中枢神经中毒症状，也可使血管舒缩中枢麻痹，而导致毛细血管扩张…
断肠草,,断肠草，又叫胡蔓藤，有大毒。生于村旁、路边、山坡草丛或灌木丛中，药用全草，全年可采。,性温，味苦、辛。,攻毒拔毒，散瘀止痛，杀虫止痒。
硫黄,硫磺、黄牙、天生黄、石流黄、石留黄、硫黄、昆仑黄、黄硇砂、石硫黄、流黄、黄英、烦硫、石亭脂、九灵黄童、山石住、将军、白硫黄、硫黄花、硫黄粉。,酸、温、脾经、肾经。,内服补火助阳。治阳痿，虚寒泻痢，大便冷秘。外用治疥癣，湿疹，癞疮，杀虫。,外治用于疥癣，秃疮，阴疽恶疮：内服用于阳痿足冷，虚喘冷哮，虚寒便秘。内服炮制后入丸散服;外服研末油调涂敷患处…
白矾,又名石涅、矾石、涅石、明矾、雪矾、云母矾、生矾等,白矾味酸、涩，性寒;归肺、脾、肝、大肠经。,消痰，止泻，止血，解毒，喉痹，传染性肝炎，黄疸，胃溃疡、十二指肠溃疡，子宫脱垂，白带，口舌生疮，水、火、虫伤，腋下狐臭，鼻息肉，内痔，混合痔，脱肛，慢性中耳炎，头癣，睾丸鞘膜水肿，慢性细菌性痢疾，肺结核咯血，癫痫，狂躁型精神病等。,用于止汗、硬化皮肤(特别足部);白带过多、溃疡(浓度为1-5&#xFF05;);结合膜则需作成白蛋白结合剂;止血，抗菌，杀虫，消炎，防腐等…
脑复康,,味甘、苦，性寒,"促进脑代谢，增加脑血流量、养阴生津,泻火解毒。",记忆及思维功能减退、老年性痴呆、老年精神衰退综合症、脑外伤。…
蛇床子,别名野茴香、野胡萝卜子、蛇米、蛇栗。,辛、苦，温；有小毒。归肾经。,温肾壮阳，燥湿，祛风，杀虫。用于阳痿，宫冷，寒湿带下，湿痹腰痛；外治外阴湿疹，妇人阴痒；滴虫性阴道炎。,抗滴虫作用，性激素样作用，其他作用。
蟾酥,别名 蛤蟆酥、蛤蟆浆、癞蛤蟆酥、蟾蜍眉脂、蟾蜍眉酥、癞蛤蚂浆。,甘辛，温，有毒。,解毒、消肿、强心、止痛。治疔疮、痈疽、发背、瘰疬、慢性骨髓炎、咽喉肿痛、小儿疳积、心衰、风、虫牙痛、开窍醒神。用于痈疽疔疮、咽喉肿痛、中暑神昏、腹痛吐泻。,《本草汇言》：疗疳积，消臌胀，解疔毒之药也。能化解一切瘀郁壅滞诸疾，如积毒、积块、积脓、内疔痈肿之证，有攻毒拔毒之功…
血珀,血珀，琥珀中的一种，红色或深红色，非常稀少，并且个体也很小。,性平，味甘。,促进血液循环、改善气色、杀菌消毒、避免传染病。,发烧、肠胃不适、火伤、挫伤。…
木鳖子,别名藤桐、木别子、漏苓子。以种子、根和叶入药。根、叶夏季采集，多鲜用。,苦微甘，温，有毒。入肝、脾、胃经。,消肿散结；解毒；追风止痛。主痈肿；疔疮；无名肿毒；痔疮；癣疮；粉刺；默黑；乳腺炎；淋巴结结核；痢疾；风湿痹痛；筋脉拘挛；牙龈肿痛,外用治疗牛皮癣、干癣、秃疮等有一定效果。涂药前患处先用盐水洗净；癣病蔓及周身者可分期分片治疗。一般1钱木鳖子仁约需10毫升醋研磨，其药汁可涂3x2厘米癣面5～7处…
土荆皮,别名罗汉松皮、土槿皮、荆树皮、金钱松皮。,辛，温；有毒。归肺、脾经。,杀虫，止痒。用于疥癣瘙痒。,外用适量，醋或酒浸涂擦，或研末调涂患处。
蜂房,别名泻露蜂房、马蜂窝、蜂巢、野蜂窝、黄蜂窝、百穿之巢。呈圆盘状或不规则的扁块状，有的似莲房状，大小不一。表面灰白色或灰褐色。腹面有多数整齐的六角形房孔，孔径3～4mm或6～8mm，背面有1个或数个黑色短柄。体轻，质韧，略有弹性。质酥脆或坚硬者不可供药用。,味甘，性平。归胃经。,具有攻毒杀虫，祛风止痛之功效。,常用于疮疡肿毒，乳痈，瘰疬，皮肤顽癣，鹅掌风，牙痛，风湿痹痛…
大蒜,又叫蒜头、大蒜头、胡蒜、葫、独蒜、独头蒜，是蒜类植物的统称。,辛，温。入脾、胃、肺经。,健胃，止痢，止咳，杀菌，驱虫。预防流行性感冒、流行性脑脊髓膜炎。治肺结核，百日咳，食欲不振，消化不良，细菌性痢疾，阿米巴痢疾，肠炎，蛲虫病，钩虫病；外用治阴道滴虫，急性阑尾炎。,行气消积，杀虫解毒。用于感冒、菌痢、阿米巴痢疾、肠炎、饮食积滞、痈肿疮疡。
龟龄集,,味甘、咸，性温热,延年益寿、通调二便、补脑养神、抗老防衰、固肾补气，增进食欲。,肾亏阳弱，记忆减退，夜梦精溢，腰酸腿软，气虚咳嗽，五更溏泻，食欲不振。…
大风子,别名大枫子、麻风子、驱虫大风子。,辛，热，有毒。入肝、脾、肾经。,祛风燥湿；攻毒杀虫。主麻风；杨梅疮；疥癣；痤疮。,外用：适量，捣敷；或煅存性研末调敷。内服：入丸、散，一次量0.3-1g。
蝉蛹,,味甘咸，性寒,提高免疫、降血脂、胆固醇、保肺益肾、祛风，定痉。,高胆固醇血症、外感风热、咳嗽喑哑、麻疹透发不畅、风疹瘙痒、小儿惊痫。…
