名称,简介,药性,功效,适应症
阿胶,又名傅致胶、驴皮胶，为马科动物驴去毛之皮熬制的胶。,阿胶味甘，性平，无毒;入肺、肝、肾经。,止血补血，补益气血，滋阴润肺，增强体质，强心补肺，阴虚咳嗽，强筋健骨，美肤养颜，肝硬化，慢性胃炎，阳痿早泄，遗精，不孕不育，小便不通，妊娠高血压综合征，妊娠下痢，产后腹痛，月经不调，带下，关节痛，骨质疏松症，溃疡性结肠炎，白血病，安胎等。,用于血虚，虚劳咳嗽，吐血，衄血、便血，妇女月经不调，崩中，胎漏;风毒骨节痛，呻吟不止者，消和洒服;利小便，调大肠等…
何首乌,别名夜交藤、何首乌叶、多花蓼、紫乌藤。,苦;甘;涩;性微温;归肝;肾经。,有生首乌与制首乌之分：生首乌功能解毒(截疟)、润肠通便、消痈;制首乌功能补益精血、乌须发、强筋骨、补肝肾。有降血脂，保肝，延缓衰老，影响内分泌功能，润肠通便等作用。,用于血虚头昏目眩;心悸;失眠;肝肾阴虚之腰膝酸软;须发早白;耳鸣;遗精;肠燥便秘;久疟体虚;风疹瘙痒;疮痈;瘰疬;痔疮;用于肝肾虚损，早衰发白;动脉硬化、高血脂等症…
龙眼肉,龙眼、桂圆、圆眼、益智、蜜脾、龙眼干、比目、荔枝奴、亚荔枝、木弹、骊珠、燕卵、鲛泪、元眼肉。,性温、味甜、心经、脾经。,益心脾，补气血，安神。治虚劳羸弱，失眠，健忘，惊悸，怔忡。补益心脾，养血安神。,龙眼味甘、性温。入心、脾经。具有补益心脾、养血宁神、健脾止泻、利尿消肿等功效。适用于病后体虚、血虚萎黄、气血不足、神经衰弱、心悸怔忡、健忘失眠等病症…
楮实子,彀木子、纱纸树、构树子、壳树、鹿仔树。,性寒，味甘。归肝、肾经。,补肾清肝，明目，利尿。用于腰膝酸软，虚劳骨蒸，头晕目昏，目生翳膜，水肿胀满。,治脾、肾、肝三脏阴虚，吐血咳血，骨蒸夜汗，口苦烦渴，梦中遗精；或大便虚燥，小便淋涩；或眼目昏花，风泪不止；治肝热生翳，气翳细点，亦治小儿翳眼；治水气臌胀，洁净府；治喉痹喉风；治耳鸣，眼雾…
燕窝,别名官燕、白燕、灰腰金丝燕、爪哇金丝燕、单色金丝燕、南海金丝燕,甘，平。入肺、胃、肾经。,养阴润燥；益气补中化痰止咳。主久病虚损；肺痨咳嗽；痰喘；咯血；吐血；久痢；久疟；噎膈反胃；体弱遗精；小便频数。,治老年痰喘，治噤口痢，治翻胃久吐，治老年疟疾及久疟，小儿虚疟，胎热。
鱼鰾胶 ,：又名鱼肚、鱼鳔、白花胶。,：甘、平，入肾经。,：鱼鳔可促进精囊分泌果糖，为精子提供能量，能促进胃肠的消化吸收，提高食欲，有利于防治食欲不振、厌食、消化不良、腹胀、便秘；能增加肌肉组织的韧性和弹力，增强体力，消除疲劳；能滋润皮肤，使皮肤细赋光滑：能增强脑力和神经系统功能，促进生长发育，提高思维和智力等。,：有补益精血，滋养筋脉，养肝益肾，养血止血之功。适用于肾虚滑精、吐血、崩漏、腰膝酸软等…
韭菜子,别名韭，山韭，丰本，扁菜，草钟乳，起阳草，长生韭，懒人菜。多年生草本，全草有特殊辛辣味，气味介于葱和蒜之间。,甘，温，归肾，肝经。,补肝肾，暖腰膝，助阳，固精。用于阳痿、遗精、遗尿小便频数、腰膝酸软、冷痛、白带过多。,韭菜子有温补肝肾，壮阳固精，暖腰膝的功效，韭菜子治阳痿、遗精、白带白淫，遗尿，小便频数、腰膝酸软、冷痛…
阳起石,别名白石、石生、羊起石、阳石、起阳石。,味咸，性温，归肾经。,配鹿茸，温肾壮阳力增强，并兼以益精血，调冲任，用于命门火衰，冲任不交，虚寒之极，崩中不止，宫冷不孕之证。配韭菜子，补肾壮阳固精，可治疗肾阳不足，遗精白带等症。阴虚火旺者忌服。,温肾壮阳，治下焦虚寒，腰膝冷痹，男子阳痿，症瘕崩漏…
海狗肾,别称腽肭脐。多为海豹和海豹科动物斑海豹、点斑海豹的阴茎和睾丸。,味咸、性热。归肝、肾经。,酒海狗肾为海狗肾切段，用黄酒喷淋拌匀，待吸尽，再用文火炒至酥脆入药者。炒海狗肾为原药材切段，用滑石粉或牡蛎粉炒至鼓起入药者。油海狗肾为海狗肾表面用青油涂擦，置木炭火上烤至鼓起入药者。治阳痿：海狗肾1具，肉苁蓉50g，白酒500ml。用白酒将上两药温浸1周，饮酒。每次1盅，日饮3次。,治虚损劳伤、阳痿精衰、早泄、腰膝痿弱、心腹疼痛…
海马,本品为海龙科动物线纹海马、刺海马、大海马、三斑海马或小海马（海蛆）的干燥体。夏、秋二季捕捞，洗净，晒干；或除去皮膜及内脏，晒干。别名：水马、对海马、海蛆,甘，温。,温肾壮阳，散结消肿。用于阳痿，遗尿，肾虚作喘，症瘕积聚，跌扑损伤；外治痈肿疔疮。,因为海马有补肾壮阳，活血理伤之功，适宜于肾阳不足、老人虚弱、久喘不止、虚性哮喘、男子阳痿不育、女子不孕，还适宜于跌打损伤疼痛或内伤疼痛者…
哈蟆油,为蛙科动物中国林蛙或黑龙江林蛙雌性的干燥输卵管。选肥大的雌蛙，用麻绳从口部穿起，挂于露天风干。干燥后，用热水浸润，立即捞起，放麻袋中闷一夜，次日剖开腹皮，将输卵管轻轻取出，去净卵子及其内脏，置通风处阴干。,甘、咸，平。归肺、肾经。,补肾益精，养阴润肺。用于阴虚体弱，神疲乏力，心悸失眠，盗汗不止，痨嗽咳血。,民间用作强壮剂。对小鼠发育有良好影响，能延长雌性小鼠的兴奋期…
羊红膻,双子叶植物药伞形科茴芹属植物缺刻叶茴芹的根或全草，别名羊洪膻、六月寒多年生草本，高40-100cm。全株有微柔毛或柔毛。茎直立，有细条纹，密被短柔毛，基部有残留的叶鞘纤维，上部有数分枝。温中散寒、温肾助阳，活血化瘀；健脾益气；养心安神；止咳祛痰。克山病；心改建；气短；咳喘。用于脾胃虚寒所致脘腹冷痛、呕吐、泄泻等。用治风寒袭肺、肺气失宣、咳嗽咳痰、胸闷喘息。阴虚内热，肺热咳嗽者忌用…,,,
胡桃肉,胡桃内形类圆球，表面沟槽似猪脑，质脆味甘富油性，补肾温肺润肠道。于白露前后果实成熟时采收，将果实外果皮沤烂，洗净晒干，即为“胡桃”、“核桃”；将果核击破、取出核仁(种子)晒干；即为“胡桃肉”，也称“核桃仁”；种隔称“分心木”。补肾固精，温肺定喘，润肠通便。用于肾虚腰酸足软，阳痿遗精，虚寒咳喘，肺虚久咳，肠燥便秘等症。呈类球形或多破碎成不规则块状。外表皱缩多沟槽，形似猪脑，被棕褐色或淡褐色薄膜质的种皮，剥去种皮显黄白色…,,,
北沙参,别名 莱阳沙参、海沙参、辽沙参、条沙参、银条参、莱阳参多年生草本。茎大部埋在沙中，部分露于地面，密被灰褐色绒毛。,甘淡，性寒，无毒，入胃经、肺经。,养阴清肺，益胃生津。用于肺热燥咳，劳嗽痰血，热病津伤口渴。。,《本草从新》：专补肺阴，清肺火，治久咳肺痿。《饮片新参》：养肺胃阴，治劳咳痰血。《东北药植志》：治慢性支气管炎，肺结核，肺膨胀不全，肺脓疡等…
南沙参,别名沙参、知母、白沙参、苦心、识美、虎须、白参、志取、文虎、文希、羊婆奶、泡参、面杆杖、桔参、泡沙参、稳牙参、保牙参、土人参。,味甘、性寒；归胃经、肺经。,养阴清肺，益胃生津，化痰，益气。治肺热咳嗽：南沙参半两，水煎服之。诸虚之症：南沙参一两，嫩鸡一只去肠，入沙参在鸡腹内，用砂锅水煎烂食之。,用于肺热燥咳、阴虚劳嗽、干咳痰粘、气阴不足、烦热口干…
胎盘,,,,
百合,又名野百合、喇叭筒、山百合、药百合、家百合等。,百合味甘，微苦，性平，无毒;入肺、心、胆经。,镇咳祛痰，滋阴润肺，失眠多梦，肺痨久嗽，咳唾痰血，百合病，心悸怔忡，咽喉肿痛，清热解毒、利水消肿，肝炎、胃病、贫血、体虚，老年人慢性支气管炎干咳，大便干燥，烦燥不安，心痛，胃阴不足之胃痛，浮肿，痈肿疮毒，脚气，产后出血，腹胀，身痛等。,用于肺阴虚的燥热咳嗽，肺虚久咳，劳嗽咯血，热病余热未清，虚烦惊悸，失眠多梦，癫邪狂叫惊悸，乳痈发背的各种疮肿等…
麦冬,又名麦门冬、麦冬、杭麦冬、浙麦冬、寸冬、寸麦冬等。,麦冬味甘、微苦，微寒。归心、肺、胃经。,百日咳，阴虚燥咳，咯血，热病心烦不安，糖尿病，萎缩性胃炎，阴虚内热，津少口渴，抗心律失常，扩张外周血管，提高耐缺氧能力，慢性胃炎，便秘，急、慢性支气管炎，消渴，吐血，鼻血，喉疮，肺阴不足，干咳气逆，咽干鼻燥，胃阴不足，冠心病，心绞痛等。,用于阴虚肺燥，咳嗽痰粘;热伤胃阴或胃阴虚，咽干口渴，大便干结;心阴虚或心经有热，心烦不眠，舌红少津等…
天冬,本品为百合科植物天门冬的干燥块根。秋、冬二季采挖，洗净，除去茎基和须根，置沸水中煮或蒸至透心，趁热除去外皮，洗净，干燥。别名：天门冬、明天冬、天冬草、倪铃、丝冬、赶条蛇、多仔婆,甘、苦，寒。,养阴生津，润肺清心。用于肺燥干咳、虚劳咳嗽、津伤口渴、心烦失眠、内热消渴、肠燥便秘、白喉。,块根长圆纺锤形，长6～20cm，中部直径0.5～2cm。表面黄白色或浅黄棕色，呈油润半透明状。干透者质坚硬而脆，未干透者质柔软，有粘性，断面蜡质样…
石斛,又名林兰、杜兰、金钗花、千年润、黄草、吊兰花等。,石斛味甘、微苦，性微寒，无毒;入胃、肾经。,益胃生津，滋阴清热，口干烦渴，食少干呕，病后虚热，目暗不明，解热镇痛，上腹涨痛，胃脘隐痛，萎缩性胃炎，浅表性胃炎，十二指肠溃疡，降血压，降血糖，动脉硬化，增强免疫力，促消化，护肝利胆，抗风湿，抗肿瘤，保护视力，滋养肌肤，抗衰老，补肾等。,用于热伤津液，低热烦渴，舌红少苔，胃阴不足，口渴咽干，呕逆少食，胃脘隐痛，舌光少苔，肾阴不足，视物昏花等…
玉竹,百合科草本植物玉竹的根茎。产于河北、江苏等地，又名萎蕤、玉参、尾参、铃当菜。①《本经》：味甘，平。②《吴普本草》：神农：苦；桐君、雷公、扁鹊：甘，无毒；黄帝：辛。③《滇南本草》：味甘微苦，性平微温。④《药材学》：味甘，性微寒。养阴，润燥，除烦，止渴。治热病阴伤，咳嗽烦渴，虚劳发热，消谷易饥，小便频数。一日~15g，或用至30g。煎汤，煎膏滋，泡茶，入粥和菜肴…,,,
黄精,黄精，又名老虎姜、鸡头参。为百合科植物滇黄精、黄精或多花黄精的干燥根茎。多年生草本。根茎横生，肥大肉质，黄白色，略呈扁圆形。有数个茎痕，茎痕处较粗大，最粗处直径可达2.5cm，生少数须根。具有补气养阴，健脾，润肺，益肾功能。用于治疗脾胃虚弱，体倦乏力，口干食少，肺虚燥咳，精血不足，内热消渴等症。对于糖尿病很有疗效。黄精主产于河北、内蒙古、陕西省等省区。多花黄精主产于贵州、湖南、云南、浙江等省。滇黄精主产于贵州、广西、云南等省区…,,,
明党参,别名：山萝卜、粉沙参，具润肺化痰、养阴和胃、平肝解毒之功能。,性味甘、微苦，性微寒。归肺、脾、肝经。,清肺，化痰，平肝，和胃，解毒。治痰火咳嗽喘逆，头晕，呕吐，目亦，白带，疔毒疮疡。,补肺气，通、下行，补气生津。治咳嗽喘逆，痰壅火升，久疟，淋沥，难产，经闭，泻痢由于肺热，反胃噎膈由于燥涩…
枸杞子,又名苟起子、枸杞红实、甜菜子、西枸杞、狗奶子等。,枸杞子味甘，性平，无毒;入肝、胃经，兼入肺经。,安神养血，滋阴壮阳，润肺止咳，虚劳，血脂异常，妊娠呕吐，萎缩性胃炎，阳痿遗精，夜间口干，糖尿病，高血脂，胃炎，肥胖症，男性不育，精子量少，无精子，精子成活力低，肝虚，脂肪肝，肝功能异常，挡风眼泪，抗肿瘤，褥疮，冻疮，烫伤，须发早白等。,用于补阴血，乌须发，壮腰膝，强视力，活血通经；病后体虚及贫血、营养不良；抑制肿瘤生长和细胞突变，延缓衰老等…
墨旱莲,旱莲草、水旱莲、莲子草、白花蟛蜞草、墨斗草、野向日葵、墨菜、黑墨草、墨汁草、墨水草、乌心草,甘酸，凉。入肝、肾经。,滋补肝肾，凉血止血。用于牙齿松动，须发早白，眩晕耳鸣，腰膝酸软，阴虚血热、吐血、衄血、尿血，血痢，崩漏下血，外伤出血。,凉血，止血，补肾，益阴。治吐血，咳血，衄血，尿血，便血，血痢，刀伤出血，须发早白，白喉，淋浊，带下，阴部湿痒…
女贞子,别名女贞实、冬青子、蜡树、鼠梓子。一味补肾滋阴、养肝明目的中药，可治肝肾不足、头晕耳呜、头发早白及两目昏糊等病症。,甘、苦，凉。归肝、肾经。,肝肾阴，乌须明目，现代医学研究认为女贞子可以抑制幽门螺杆菌的作用可以治疗胃病。用于肝肾阴虚，腰酸耳鸣，须发早白；眼目昏暗，视物昏暗；阴虚发热，胃病及痛风和和高尿酸血症。,头昏目眩；腰膝酸软；遗精；耳鸣；须发早白；骨蒸潮热；目暗不明…
桑椹,又名桑实、葚、乌椹、文武实、黑椹、桑枣、桑葚子等。,桑椹味酸甘，性寒，无毒;入肝、肾经。,风湿性关节疼痛，风湿筋骨痛，肝肾不足，急、慢性肾炎，喘咳，小便不利，糖尿病，贫血，高血压，高血脂，冠心病，血管硬化，脚膝痛，肢体麻痹，中风后半身不遂，肠燥便秘，失眠多梦;补肝益肾，血虚精亏，生津润肠，明目，腰酸耳鸣，须发早白，消渴等。,用于中老年人健体美颜、抗衰老；明目，缓解眼睛疲劳干涩;生津止渴、促进消化、帮助排便；骨骼关节硬化，促进新陈代谢等…
黑芝麻,别名胡麻、油麻，为胡麻科脂麻的黑色种子，含有大量的脂肪和蛋白质，还有糖类、维生素A等营养成分。黑芝麻呈扁卵圆形，长约3毫米，宽约2毫米。表面黑色，平滑或有网状纹。尖端有棕色点状种脐。种皮薄，子叶2，白色，富油性。气微，味甘，有油香气。常吃黑芝麻可以帮助人们预防和治疗胆结石，同时还有健脑益智、延年益寿的作用。适宜肝肾不足所致的眩晕、眼花、视物不清、腰酸腿软、耳鸣耳聋、发枯发落、头发早白之人食用；适宜妇女产后乳汁缺乏者食用…,,,
龟甲,本品为龟科动物乌龟的背甲及腹甲。全年均可捕捉，以秋、冬二季为多，捕捉后杀死，剥取背甲及腹甲，除去残肉，称为“血板”。或用沸水烫死，剥取背甲及腹甲，除去残肉，晒干者，称为“烫板”。别名：龟板、龟版、生龟板、炒龟板等。,咸、甘，微寒。归肝经、肾经、心经。,滋阴潜阳，益肾强骨，养血补心。用于阴虚潮热，骨蒸盗汗，头晕目眩，虚风内动，筋骨痿软，心虚健忘。,孕妇或胃有寒湿者忌服…
鳖甲,别名 团鱼盖、脚鱼壳、上甲、甲鱼、鳖壳、团鱼甲、鳖盖子、甲鱼壳、团鱼壳 。,咸，微寒。归肝、肾经。,滋阴潜阳，软坚散结，退热除蒸。用于阴虚发热，劳热骨蒸，虚风内动，经闭，癓瘕，久疟疟母。,鳖甲善能攻坚，又不损气，阴阳上下有痞滞不除者，皆宜用之。但宜研末调服，世人俱炙片入汤药中煮之，则不得其功矣。又：或疑鳖甲善杀痨虫，有之乎?曰：不杀痨虫，何以能除痨瘦骨蒸《本草新编》…
银耳,银耳，也叫白木耳、雪耳，有“菌中之冠”的美称，夏秋季生于阔叶树腐木上，又名白木耳、白耳子、白耳。银耳实体纸白至乳白色，胶质，半透明，柔软有弹性，由数片至10余片瓣片组成，形似菊花形、牡丹形或绣球形，直径3-15cm干后收缩，角质，硬而脆。银耳具有强精、补肾、润肠、益胃、补气、和血、强心、壮身、补脑、提神、美容、嫩肤、延年益寿之功效。用于治肺热咳嗽、肺燥干咳、妇女月经不调、胃炎、大便秘结等病症。分布于我国浙江、福建、江苏、江西、安徽等地区…,,,
白山药,,味甘，性温平。,健脾开胃、益肺止咳、降血糖、益志安神、滋肾益清,平动脉硬化、骨质疏松、牙齿脱落、冻疮、糖尿病、肝炎、小儿泻泄、遗尿症。…
铁皮石斛花,,味甘，性微温,防抗衰老、祛斑美容、降低血糖、抑制肿瘤、醒脑。,肺癌、卵巢癌、早幼粒细胞性白血病、白内障
红枸杞,,味甘，性平,延缓衰老、补虚生精、抑癌防癌、降三高、促进胃肠蠕动、明目。,高血压、心脏病、动脉硬化等、肝血不足、肾阴亏损
