药材名称,药材类别,药材基原,药材别名,性味归经,功能主治
白叶火草,中药,为菊科植物植物白千里光的根或全草。Senecio nagensium C. B. Clarke [Synotis nagensium (G. B. Clarke) C. Jeffery et Y. l.Chen]。夏、秋季采收，洗净，晒干。,白背艾;火门艾;大叶艾;满山香;大白叶子火草,味淡；性平。,散风热；定喘咳；利水湿。主感冒发热；咳喘；小便淋涩；肾炎水肿
白叶藤,中药,为萝藦科植物白叶藤的全草。Cryptolepis sinensis（Lour．） Merr [Per-gularia sinensis Lour.]。夏、秋季采收，鲜用或晒干。,铁边;蜈蚣草;篱尾蛇;藤羊角扭;母乳藤;对面笑;红藤仔;鸟仔藤;淋汁藤;飞杨藤;牛蹄藤;脱皮藤;扛棺回,甘；性凉；小毒。,清热解毒；止血；散瘀止痛。主肺热咳血；肺痨咯血；胃出血；痈肿；疮毒；跌打刀伤；蛇虫咬伤
白颖苔草,中药,为莎草科植物白颖苔草的全草。Carex rigescens（Franch.）V.Krecz.[C.stenophylla Wahlb.var.rigescens Franch.]。夏、秋季采收，洗净，晒干。,参考原文,味甘；苦；涩；性平。归三焦；脾；胃；肾经,清热利尿通淋。主乳糜尿
白鱼,中药,为鲤科动物翘嘴红鲌及红鳍鲌的肉。1.Erythroculter ilishaeformis (Bleeker)2.Culter erythropterus Basilewsky。春、夏季捕捉，捕得后，除去鳃、鳞和内脏，洗净，鲜用。,鲌鱼;鱎鱼;白扁鱼,味甘；性平。归脾；胃经,开胃消食；健脾行水。主食积不化；水肿
白云瓜,中药,为旋花科植物蓝花土瓜的块根。Merremia yunnanensis (Courch.etGagnep.)R.C.Fang [Ipomoea yunnanensis Courch.et Gagnep.]。秋、冬季挖取块根，除去泥土，切片，晒干。,山萝卜,甘；微辛；平。,化痰通络。主中风不语；痰涎壅塞；半身不遂
白云瓜梗,中药,为旋花科植物蓝花土瓜的茎。Merremiayunnanensis(Courch.etGagnep.)R.C.Fang。秋、冬季采收，洗净。,参考原文,,解毒。主走马牙疳
白云瓜花,中药,为旋花科植物蓝花土瓜的花。Merremiayunnanensis(Courch.etGagnep.)R.c.Fang。花期采收，阴干。,参考原文,,主鼻渊
白云瓜皮,中药,为旋花科植物蓝花土瓜的根皮。夏、秋季采。,参考原文,,主酒糟鼻
白云瓜叶,中药,为旋花科植物蓝花土瓜的叶。Merremiayunnanensis(Church.et Gagnep.)R.c.fang。夏季采叶，洗净，晒干。,参考原文,,主伤寒头疼；肺热鼻衄
白云花根,中药,为伞形科植物白云花的根。Heracleum rapula Franch。秋季采挖，洗净切片，晒干。,独活;云南独活;恙活骨;恙活;土全归;岩川;白云花;法罗海;毛爪参;滇独活;香白芷;鹤庆独活;白毛参,味辛；苦；性温。,祛风除湿；止咳平喘；散瘀痛。主风寒感冒；风寒湿痹；腰痛；胃痛；腹痛；牙痛；虚寒咳喘；白带；经闭腹痛；疝气疼痛；跌打瘀肿
白鱼尾,中药,为醉鱼草科植物亚洲醉鱼草的根、茎叶。Buddleja asiatica Lour。根、茎随采随用，切片，晒干；8～9月采叶，鲜用或晒干。,溪桃;野桃;杨波叶;蒲羌癀;白波越子;白背枫;白花醉鱼草;白鱼鲫;山苦桃;白鸡公尾;白背叶;尖尾枫;黄合叶;王记叶;单叶埔姜;独叶埔姜;白花洋泡;七里香;贼侧草;羊耳朵;瘴气花,苦;微辛;性温;小毒。,祛风化湿;行气活血。主头风痛;风湿痹痛；胃脘痛；腹胀，痢疾；跌打骨折；无名肿毒；湿疹；皮肤瘙痒
白鱼尾果,中药,为醉鱼草科植物亚洲醉鱼草的果实。Buddleja asiatica Lour。3-12月采收成熟的果实，鲜用或晒干。,参考原文,苦；性平。,驱虫消肿。主小儿蛔虫病；疳积
柏脂,中药,为柏科植物侧柏树干或树枝经燃烧后分泌的树脂。,柏油,甘；性平。,除温清热，解毒杀虫。主疥癣；癞疮；秃疮；黄水疮；丹毒；赘疣
柏枝节,中药,为柏科植物侧柏的枝条。Platycladus orientalis(L.)Franco[Thujaorientalis L.;Biota orientalis(L.)Endl.]。全年均可采收，以夏、秋季采收者为佳。,参考原文,苦；辛；性温。,驱风除温；解毒疗疮。主风寒温痹；历节风；霍乱转筋；牙齿肿痛；恶疮；疥癞
白芷叶,中药,"为伞形科植杭白芷和祁白芷的叶。Angelica dahurica (Fisch. Ex Hoffm.) Benth.Et Hook. F. Ex Franch. Et Sav., A. Anomala Lallem., A.taiwaniana Boiss。春、夏季采收，晒干。",莴麻,味辛；性平。,祛风解毒。主瘾疹；丹毒
白猪鼻孔,中药,为三白草科植物白苞裸蒴的全草。Cymnotheca involucrata pei。夏季采集，洗去泥沙，鲜用或晒干。,白侧耳;圆叶蕺菜,苦；微寒。,清热解毒；利水。主肺痈；湿热带下；白浊；小便不利；疮疖肿毒
白猪栗,中药,为壳斗科植物高山栲的果实。Castanopsis delavayi Franch。秋季采收，剥去总苞，晒干。,滇锥栗;椎栗,,宁心益肾。主心悸；耳鸣；腰痛
白猪栗根,中药,为壳斗科植物高山栲的根或茎皮。Castanopsis delavayi Franch。根全年可采，茎皮春、夏、秋季剥取，均晒干。,参考原文,辛；涩；微苦；性平。,收敛止泻。主肠炎；腹泻
白猪母菜,中药,为玄参科植物陌上菜的全草。Lindernia procudens(Drock.) Philcox[Anagalloides procumbens Krock.]。夏、秋季采收，晒干。,对主从神仙;六月雪;白胶墙;母草,味淡；微甘；性寒。,清热解毒；凉血止血。主湿热泻痢；目赤肿痛；尿血；痔疮肿痛
白朱砂莲,中药,"为马兜铃科植物背蛇生的块根。Aristolochia tuberosa C.F.Liang et S.M.Hwang。春初新芽发出前或秋后茎叶枯萎后,采挖块根,除去残茎及细根,洗净,蒸透心,晒干或烘干。",朱砂莲;一点血;躲蛇生;毒蛇药;避蛇生。,苦；辛；寒。归心；肺；肝经,清热解毒；理气止痛。主湿热痢疾；泄泻；脘腹疼痛；咽喉肿痛；肺结核；毒蛇咬伤；痈肿
白珠树,中药,为杜鹃花科植物白珠树的根或茎叶。GaultherialeucoarpaBl，var.cumingiana(Vidal)T.Z.hsu(G.cumingianaVidal;G.lecocarpaBl.f.cumingicna(Vidal)Sleumer采收和储藏：夏、秋季采收，晒干或鲜用。Gaultheria leucoarpaBl，var.cumingiana(Vidal)T.Z,老虎尿;老虎面;满山香;牛头药,辛；性温。,祛风除湿；通络止痛。主风湿痹痛；跌打损伤
百足藤,中药,为天南星科植物百足藤的全草。Pothos repens (Lour.) Druce [Flagellaria repens Lour]。全年均可采，洗净，鲜用或切段晒干。,神仙对坐草;石上蜈蚣;飞天蜈蚣;百足草;铁斑鸠;巴岩姜;姜藤;天蜈蚣;土石蜈蚣;雄鸡尾;细蜈蚣草;蜈蚣草;石蜈蚣;下山蜈蚣,味辛；性温。归肝经,散瘀接骨，消肿止痛。主劳伤；跌打肿痛；骨折；疮毒
八角枫根,中药,为八角枫科植物八角枫和瓜木的根、须根及根皮。1.Alangium chinenese (Lour.) Harms [Stylidium chinense Lour.]2.Alangium Platanifolium (Sieb. Et Zucc.) Harms [Marlea platanifolia Sieb. Et Zucc.]。全年可采，挖取支根或须根，洗净，晒干。,白龙须;白金条;白筋条,味辛；苦；性微温；小毒。归肝；肾；心经,祛风除湿；舒筋活络；散瘀止痛。主风湿痹痛；四肢麻木；跌打损伤
八角枫花,中药,为八角枫科植物八角枫和瓜木的花。Alangium chinense(Lour) Harms. Alangium platanifolium（Sieb. Et Zucc.） Harms。5-7月采花；晒干【原形态】落叶乔木或灌木，高3-5m。,牛尾巴花,味辛；性平；小毒。归肝；胃经,散风；理气；止痛。主头风头痛；胸腹胀痛
八角枫叶,中药,为八角枫科植物入角枫的叶。Alangium chinense (Lour.） Harms Alangium platanifolium (Sieb. Et Zucc.） Harms。夏季采收、鲜用或晒干研粉。,大风药叶,味苦；辛；性平；小毒。归肝；肾经,化瘀接骨；解每杀虫。主跌打瘀肿；骨折；疮肿；乳痈；乳头皲裂；漆疮；疥癣；刀伤出血
芭蕉根,中药;苗药,为芭蕉科植物芭蕉的根茎。Musa basjoo Sieb. Et Zucc。全年均可采挖，晒干或鲜用。,芭蕉头;ndutjeub都就（贵州松桃）;detgherbxab斗卡修（贵州黔南）;zheub走（贵州毕节）;嘎脑修（苗药名）,味甘；性寒。归胃；脾；肝经,清热解毒；止渴；利尿。主热病；烦闷消渴；痈肿疔毒；丹毒；崩漏；淋浊；水肿；脚气
芭蕉花,中药,为芭蕉科植物芭蕉的花。Musa basjoo Sieb. Et Zucc。花开时采收，鲜用或阴干。,参考原文,味甘；微辛；性凉。归心；肝；胃；大肠经,化痰消痞；散瘀；止痛。主胸膈饱胀；脘腹痞疼；吞酸反胃；呕吐痰涎；头目昏眩；心痛；怔忡；风湿疼痛
八角金盘,中药,为五加科植物八角金盘的叶或根皮。Fatsia japonica (Thunb.) Dexcne. Et Planch. [Aralia japonica Thunb.]。夏、秋季采叶，根皮全年可采收，均洗净，鲜用或晒干。,手树;金刚纂,味辛；苦；性温；小毒。,化痰止咳；散风除湿；化瘀止痛。主咳嗽痰多；风湿痹痛；痛风；跌打损伤
八角莲叶,中药,为小檗科植物八角莲、六角莲和川八角莲的叶。1.Dysosma versipellis(Hance)M.Cheng ex Ying2.Dysosma pleiantha (Hance)Woods.[D.hispida(Hao)Chun]3.Dysosma veitchii(Hemsl.et Wis.)Fu ex Ying。夏秋采收，鲜用或晒干。,鬼臼叶,味苦；辛；性平。归肺经,清热解毒；止咳平喘。主痈肿疔疮；喘咳
八角香,中药,为菊科植物白花蟹甲草的块茎。Cacalia ainsliaefora(Franch.) Hand.- Mazz.[Senecio ainsliae-florus Franch.]。秋季采挖，洗净，鲜用或切片晒干。,蜘蛛草;羊角天麻,味辛；性温。,散瘀；解毒；杀虫。主风湿浮肿；无名肿毒；瘌癣
芭蕉叶,中药,为芭蕉科植物芭蕉的叶。Musa basjoo Sieb. Et Zucc。全年均可采，切碎，鲜用或晒干。,参考原文,味甘；淡；性寒。归心；肝经,清热；利尿；解毒。主热病；中暑；水肿；脚气；痈肿；烫伤
芭蕉油,中药,为芭蕉科植物芭蕉的茎中的汁液。Musa basjoo Sieb.Et Zucc。夏、秋季将近茎根部刺破取流出汁液，用瓶子装好，密封备用。,芭蕉汁;芭蕉树水,味甘；性寒。归心；肝；胃经,清热；止渴；解毒。主热病烦渴；惊风；癫痫；高血压头痛；疔疮痈疽；中耳炎；烫伤
芭蕉子,中药,为芭蕉科植物芭蕉的果实。Musa basjoo Sieb. Et Zucc。夏、秋季果实熟时采收，鲜用。,参考原文,《食疗本草》：“子生食大寒；蒸熟暴之令口开，春取仁性寒。”。归肺；心；肾经,止渴润肺；通血脉；填骨髓。主《食疗本草》：“（生食）止渴润肺，（蒸熟取仁）通血脉，填骨髓。”
芭茅,中药,为禾本科植物芭茅的茎。Miscanthus floridulus （Labill.）Warb。夏、秋季采收，切段晒干。,竿青;竿芒。,甘；淡；平。,清热通淋；祛风和湿。主热淋；石淋；白浊；带下；风湿痹痛
巴茅根,中药,为禾本科植物荻的全草。Miscanthus sacchariflorus( Maxim) Benth et Hook f。全年均可采，洗净，切段晒干。,野苇子;红紫,味甘；性凉。,清热活血。主干血痨；潮热；产妇失血口渴；牙痛
芭茅果,中药,为禾本科植物芭茅根茎部叶鞘内的虫瘿。Miscanthus floridulus （Labill.）Warb。全年均可采收。,牛草果;苦芦骨。,辛；甘；微温。,解表透疹；行气调经。主小儿疹出不透；胃脘痛；疝气；月经不调
半边菜,中药,为十字花科植物华中碎米荠的根状茎。Cardamine urhaniana O.E.Schulz。春、夏季采挖，洗净，晒干。,菜子七;妇人参;普贤菜。,微苦；辛；平。,止咳化痰；活血消肿。主百日咳；慢性支气管炎；跌打损伤
半边风,中药;瑶药,为金缕梅科植物蕈树的根。Altingia chinensis (Champ.)Oliv.ex Hance。夏季采挖，除去须根，洗净，切段，晒干。,老虎斑;三叶莲,辛；温。归心经,祛风湿；通经络。主风湿痹痛；四肢麻木；跌打损伤
半边藕,中药,为双扇蕨科植物中华双扇蕨的根茎。Dipteris chinensis Christ。夏、秋季采挖，洗净，去附叶，鲜用或晒干。,参考原文,微苦；寒。,清热利湿。主小便淋沥涩痛；腰痛；浮肿
半边钱,中药,为豆科植物铺地蝙蝠草的全株。Christia obcordata (Poir.) Bahn.f.[Hedysarum obcordatum Poir.;Lourea obcordata Desv.]。夏、秋季采收，洗净，鲜用或晒干。,罗藟草;钱凿草;土豆草;纱帽草;蝴蝶草;马蹄金;马蹄香,苦辛；寒；无毒。归肺；心；肾；膀胱经,利水通淋，散瘀止血，清热解毒。主小便不利，石淋，水肿，白带，跌打损伤，吐血，咯血，血崩，目赤痛，乳痈，毒蛇咬伤
半边山,中药,为荨麻科植物条叶楼梯草带根茎的全草。Elatostema sublineare W.T.Wang。夏、秋季采收，洗净，切段，鲜用或晒干。,参考原文,微苦；甘；性凉。,接骨消肿；清肝解毒；利湿。主跌打伤肿；骨折；风湿红肿；火眼；黄疸
半边苏,中药,为唇形科植物绵穗苏的全草。Comanthosphace ingpoensis (Hemsl.) Hand.-Mazz. [C.sublanceolata auct.non (Miq.)S.Moore]。夏、悉季采收，切段，晒干或鲜用。,野鱼香;野苏;火胡麻,味辛；微苦；性温。,祛风发表；止血调经；消肿解毒。主感冒；头痛；瘫痪；劳伤吐血；崩漏；月经不调；痛经；疮痈肿毒
半春莲,中药,为兰科植物小花蜻蜒兰的根茎或全草。Tulotis ussuriensis (Regel et Macck) Hara [Platanthera tipuloides Lindl. Var. ussuriensis Regel et Macck; Perularia ussuriensis (Maxim.) Schltr.]。春、夏采收，鲜用或晒干。,半层莲;大叶黄龙缠树;野苞芦;蜻蜓兰;龙珠参;山豆芽;狼扇;虎头蕉,凉；苦；辛。归心；脾经,清热；消肿；解毒。主虚火牙痛；鹅口疮；无名肿毒；毒蛇咬伤；跌打损伤；风湿痹痛
斑楮头红,中药,为野牡丹科植物斑点楮头红的全草。Sarcopyramis nepalensis Wall.var.maculata C.Y.Wu ex C.Chen。夏、秋季采收，切碎晒干。,参考原文,味酸；性凉。,清热；平肝。主肺热咳嗽；眩晕；心悸失眠
斑点虎耳草,中药,为虎耳草科植物斑点虎耳草的全草。,参考原文,苦；平。归入心经,解毒消肿。主疮痈肿毒
半枫荷根,中药,为梧桐科植物翻白叶树或窄叶半枫荷的根。1.Pterospermum heterophyllum Hance2.Pterospermum lanceaefolium Roxb。全年幸免可采，挖取根部，除去须根及泥沙，切片，晒干。,枫荷桂;半边枫荷;阴阳叶;三不怕;铁巴掌;白背枫;半梧桐;番张麻;大叶半枫荷。,味辛；甘；性微温。归肝；脾经,祛风除湿；活血通络。主风湿痹痛；手足麻木；腰肌劳损；脚气；跌打损伤
半枫荷叶,中药,为梧桐科植物翻白叶树PterospermumheterophyllumHance或窄叶半枫荷PterospermumlanceaefoliumRoxb.的叶。1.Pterospermum heterophyllum Hance2.Pterospermum lanceaefolium Roxb。全年均可采，洗净，鲜用或晒干。,参考原文,甘；淡；微温。归肝；脾经,活血止血。主外伤出血
棒棒草,中药,为石竹科植物短小孩儿参的干燥块根。Pseudostellaria maximowicziana (Franch.et Sav.)Pax ex Pax et Hoffm.［Krascheninikowia maximowicziana Franch.et Sav.］。夏季茎叶大部分枯萎时采挖，洗净，除去须根，晒干或沸水中略烫后晒干。,孩儿参,甘；苦；微温。,补肺；健脾；养阴生津。主肺虚咳嗽；脾虚食少；心悸自汗；疲惫乏力；口干
棒棒木,中药,为榆科植物小叶朴的树干、枝条。Celtis bungeana BI。夏季砍割枝条，切薄片，或取树干刨成薄片，晒干。,参考原文,辛；微苦；性凉。,祛痰；止咳；不喘。主慢性咳嗽；哮喘
蚌粉,中药,为蚌科动物褶纹冠蚌、三角帆蚌和背角无齿蚌等淡水产的贝壳制成的粉。1.Crostaroa plicata(Leach)2.Hyriopsis cumingii(Lea)3.Anodonta woodiana(Lea)。取蚌壳洗净，刮去黑皮，捣碎，研粉或煅后研粉。,蚌蛤灰;蜃灰;蚌壳粉;蚌壳灰,味咸；性寒。归肺；肝；胃经,化痰消积；清热燥湿。主痰饮咳嗽；哎逆；疳积；白带；湿疹；痱子；烫伤
榜嘎,中药,为毛茛科植物船盔乌头或甘青乌头的带根全草。1.Aconitum naviculare(Bruhl.)Stapf2.Aconitum tanguticum(Maxim.)Stapf[A. rotundifolium Kar.et Kir.var.tanguticum Maxim.]。7-9月开花果期采挖带根全草，洗净，切段，晒干或晾干。,藏名:榜阿嘎保,味苦；性凉；小毒。归肝；胃；肺经,清热解毒利湿。主肝炎；胆囊炎；肺炎；感冒发热；咽喉炎；胃肠炎
蚌壳草根,中药,为豆科植物半灌木千斤拔的根。Flemingia fruticulosa Wall.ex Coll.[Moghania fruticulosa（Wall.ex Call.）Wang et Tang]。秋、冬采，洗净，切片，晒干。,咳嗽草;大铁扫把。,微苦；甘；凉。归肺；脾经,清热化痰；除湿通络；健脾消疳。主感冒发热；肺热咳咳嗽；哮喘；百日咳；风湿痹痛；黄疸；痛经；小儿疳积；腹泻；消化不良
蚌兰花,中药,为鸭跖草科植物紫万年青的花。Rhoeo discolor(L' Her.) Hance。夏月采摘，晒干，或蒸10min后再晒干。,蚌花;紫万年青花;荷包兰;蚌兰衣;菱角花;红蚌兰花;州部队,甘；凉；淡。,清肺化痰；凉血止血；解毒止痢。主肺热咳喘；百日咳；咯血；鼻衄；血痢；便血；瘰疬
蚌兰叶,中药,为鸭跖草科植物紫万年青的叶。Rhoeo discolor(L' Her.) Hance。全年均可采收，鲜用或晒干。,紫万年青叶;蚌花叶;红蚌兰叶,甘；凉；淡。,清热解毒；化瘀止血。主肺热咳嗽；吐血；衄血；便血；泻痢；跌打损伤；瘰疬；疮疖
蚌泪,中药,为蚌科动物褐纹冠蚌、三角帆蚌和背角无齿丰等蚌类的体内分泌液。1.Crostaroa plicata(Leach)2.Hyriopsis cumingii(Lea)3.Anodonta woodiana(Lea)。在剖杀河蚌时，收集其分泌液。,方诸水;活蚌水;蚌水;蚌清水,味甘；性寒。归肝；肾经,止渴；明目；清热解毒。主消渴；赤眼；烫伤；鼻疔
蚌肉,中药,为蚌科动物褐纹冠蚌、三角帆蚌和背角无齿蚌等蚌类的肉。1.Crostaroa plicata(Leach)2.Hyriopsis cumingii(Lea)3.Anodonta woodiana(Lea)。全年均可捕捉，去壳取肉，洗净，鲜用。,含浆；河歪；河蛤蜊,味甘；咸；性寒。归肝；肾二经,清热；滋阴；明目；解毒。主烦热；消渴；血崩；带下；痔瘘；目赤
斑花杓兰,中药,为兰科植物紫点杓兰的花或全草。Cypripedium guttatum Sw。春、夏季采挖，洗净，晾干。,参考原文,,镇静止痛；发汗解热。主神经衰弱；癫痫；小儿高热惊厥；头痛；胃脘痛
半截叶,中药,为西番莲科植物镰叶西番莲的全草。Passiflora wilsonii Hemsl。夏、秋季采收；洗净；晒干【原形态】多年生攀援草质藤本，长3-10。,锅铲叶;金边莲;半节叶;半节观音;铲叶西番莲。,味微苦；性温。,祛风湿；补肝肾；活血调经，杀虫截疟。主风温滑痛；腰酸背痛；肝炎；肝硬化；月经不调；跌打损伤；骨折；疟疾；蛔虫病
斑鸠,中药;维吾尔药,为鸠鸽科动物火斑鸠、山斑鸠和珠项斑鸠的肉。1.Oenopopelia tranquebarica(Harmann)2.Streptopelia orientalis(Latham)3.Streptopelia chinensis(Scopoli)。四季均可捕捉，捕杀后，除去羽毛及内脏，鲜用或焙干。,锦鸠;斑鹪;库木日;法合台;库土如《明净词典》;帕合台克（维吾尔药名）,味甘；性平。归肺；肾经,补肾；益气；明目。主外病气虚；身疲乏力；呃逆；两目昏暗
斑鸠菊,中药,为菊科植物斑鸠菊的根或叶。Vernonia esculenta Hemsl.[V. papil-lasa Franch.]。全年均可采挖，洗净，切片，晒干。,豆腐渣树;聋耳朵树;鸡菊花;火炭树;火炭叶;火烧叶;火烫叶;火藤菊,味甘；涩；性凉。,清热解毒；生肌敛疮。主阑尾炎；疮疖；烫火伤
斑鸠木,中药,为菊科植物茄叶斑鸠菊的根或茎、叶。Vernonia solanifolia Benth。春、夏、秋季均可采用，晒干或鲜用。,月中风;空心癍麻;白沉沙;硬骨过山龙;威虾花;夜牵牛;白花毛桃;大过山龙,味甘；苦；性凉。,润肺止咳；祛风止痒。主咽喉肿痛；肺结核咳嗽；咯血；支气管炎；胃肠炎；风湿痹痛；外伤出血；皮肤瘙痒
斑鸠占,中药,为马鞭草科植物狐臭柴和黄毛豆腐柴的根或茎。Premna puberula Pamp。夏、秋季采收，切片晒干。,神仙豆腐柴;跌打王,味辛；微甘；性微温。归肝；肾经,祛风湿；壮肾阳。主风湿痹痛；肥大性脊椎炎；肩周炎；肾虚阳痿；月经延期
斑鸠占叶,中药,为马鞭草科植物狐臭柴和黄毛豆腐柴的叶。Prmna puberula Pamp.Premna fulua Craib。春、夏季采收，鲜用或晒干、【原形态】1.狐臭柴，直立或攀援状灌木至小乔木，真株高1-3.5m。,战骨,味辛；微甘；性平。,清湿热，解毒，续筋接骨。主水肿；毒疮；水火烫伤；筋伤骨折
半拉子,中药,为桦木科植物千金榆的果穗。Carpinus cordata B1。秋季采摘，晒干。,见风干;半柱子;千金鹅耳枥,甘；淡；性平。,健胃消食。主脾胃虚弱；食欲不振；脘腹胀满；消化不良
斑茅,中药,为禾本科植物斑茅的根。Saccharum arundinaceum Retz。夏、秋采收，洗净，晒干。,大密;芭茅,甘；谈；平。,活血通经；通窍利水。主跌打损伤；筋骨风痛；经闭；月经不调；水肿蛊胀
斑茅花,中药,为禾本科植物斑茅的花。Saccharum arundinaceum Retz。夏、秋季采收。,参考原文,,止血。主咯血；呕血；衄血；创伤出血
瓣蕊唐松草,中药,为毛茛科植物瓣蕊唐松草的根及根茎。Thalictrum petaloideum L.[T.Petaloideum L.var.latifoliolatum Kitag.]。夏、秋季采挖，除去茎叶及泥土，切段，晒干备用。,唐松草;马尾黄连,味苦；性寒。归肝；胃；大肠经,清热；燥湿；解毒。主治湿热泻痢；黄疸；肺热咳嗽；目赤肿痛；痈肿疮疖；渗出性皮炎
伴蛇莲,中药,为蓼科植物革叶蓼的根茎。Polygonum coriaceum Sam。秋季采挖，除去须根，洗净，晒干或鲜用。,鸡爪大王;拳参;马蜂七;草血竭,苦；性寒。,清热解毒。主湿热痢疾；腹泻；痈肿；痔疮；牙龈肿痛；口糜；汤火伤；毒蛇咬伤
半蒴苣苔,中药,为苦苣苔科植物半蒴苣苔的全草。Hemiboea henryi Clarke。夏、秋季采收，鲜用或晒干。,山白菜;天目降龙草;石花菜;尿桶草;石花;牛蹄草;牛舌头;白观音扇;石塔青;降龙草;石杓麦;乌梗子;岩茄子;岩苋菜;牛耳朵菜;蚂拐菜;大蚂拐菜;麻脚杆;岩莴苣;石莴苣,味微苦；性平。,清热；利湿；解毒。主湿热黄疸；咽喉肿痛；毒蛇咬伤；烧烫伤
斑叶堇菜,中药,为堇菜科植物斑叶堇菜的全草。Viola uariegataisch. Exc Link。夏、秋季采收，洗净，鲜用或晒干。,天蹄。,味甘，性凉。,清热解毒；凉血止血。主痈疮肿毒；创伤出血
斑叶兰,中药,为兰科植物大斑叶兰、小斑叶兰、大花斑兰或绒叶斑叶兰的全草。1.Goodyera schlechtendaliana Reichb.f.2.goodyera repens (L.)R.Br.[Satyrium repens L.]3.Goodyera bifora(Lindl.)Hook.f.[Georchis biflora Lindl.]4.Goodyera velutina Maxim。夏、秋,银线盆;九层盖;野洋参;小将军;小叶青;麻叶青;竹叶青;蕲蛇药;尖叶山蝴蝶;竹叶小青;肺角草;滴水珠;金边莲;银耳环,甘；辛；平。,润肺止咳；补肾益气；行气活血；消肿解毒。主肺痨咳嗽；气管炎；头晕乏力；神经衰弱；阳痿；跌打损伤；骨节疼痛；咽喉肿痛；乳痈；疮疖；瘰疬；毒蛇咬伤
半圆盖阴石蕨,中药,为骨碎补科半圆盖阴石蕨的根茎。Humata platylepis (Bak.)Ching[Davallia platylepis Bak.]。夏、秋季挖取，洗净，去须根与叶柄，鲜用或晒干。,参考原文,苦；涩；凉。归肺；肝；脾；肾经,祛风除湿；散瘀通络。主风湿疼痛；感冒发热；急性扁桃体炎，破伤风；跌打损伤；骨折；肾炎水肿
斑竹根,中药,为禾本科植物桂竹的根茎及根。Phyllostachys bambusoides Sieb.et Zucc。9-10月采挖根茎及根，洗净，切段晒干。,参考原文,淡；微苦；寒。,祛风除湿；止咳平喘；止血。主风湿痹痛；四肢筋骨疼痛；咳嗽气喘；血崩
半柱花,中药,为爵床科植物半柱花的全草。Hemigraphis procumbens (Lour.) Merr. [(Barleria procumbens Lour.;Hemigraphis chinensis (Nees)T. Anders .;Sericocalyx chinensis (Nees )Bremek.)]。夏、秋季采收，洗净，鲜用颧晒干。,狗泡草;毛虫包;火溧藤;白飘草;白泡草;三失母头;疳积草;出泡草,味微苦；辛；性凉。,清热解毒；利湿止痒；消肿止痛。主痢疾；疮疡；湿疹；皮肤瘙痒；毛虫刺伤；跌打
斑竹壳,中药,为禾本科植物桂竹的箨叶。Phyllostachys bambusoides Sieb.et Zucc。4-7月采收，去毛，晒干或鲜用。,参考原文,苦；寒。,凉血透疹。主热病身发斑疹
报春花,中药,为报春花科植物报春花的全草。Primula malacoides Franch。5月采收，鲜用或晒干。,橡只玛尔布,辛；微甘；性凉。归肝；胆；脾；胃经,清热解毒。主肺热咳嗽；咽喉江肿；口舌糜烂；牙龈肿痛；肝火目赤；痈肿疮疖
饱饭花果,中药,为杜鹃花科植物西南越橘的果实。Vaccinium laetum Diels[V.mandarinorum Dielsvar.laetum(Diels)Metc；V.sprengelii(G.Don)sleumer；V.laetum Dielsvar.undula-tumY.C.Yang]。7-10月采收，晒干。,乌饭子,酸；甘；性平。,强筋骨；益气力。主筋骨酸软；四肢无力
饱饭花枝叶,中药,为杜鹃花科植物西南越橘的枝叶。Vaccinium laetum Diels[V.mandarinorum Dielsvar.laetum(Diels)Metc；V.sprengelii(G.Don)sleumer；V.laetum Dielsvar.undula-tumY.C.Yang]。全年可采，节段晒干。,参考原文,苦；性平。,平肝止痛；。主偏头痛
包袱七,中药,为小檗科植物水八角莲的根和根茎。Dysosma difformis(Hemsl.et Wils.)T.H.Wang[Podophyllum difformis Hemsl.et Wils.]。4-10月采收，洗净，晒干或鲜用。,半碗水;铁骨散;包袱莲;一块砖,味苦；辛；性凉；有毒。归肺；肝经,清热解毒；化痰散结；祛瘀止痛。主咽喉肿痛；痈肿；疔疮；肺炎；腮腺炎；毒蛇咬伤；瘰疬；跌打损伤
宝盖草,中药,为唇形科植物宝盖草的全草。Lamium amplexicaule L。夏季采收全草，洗净，晒干或鲜用。,接骨草;莲台夏枯;毛叶夏枯;灯龙草;珍珠莲;佛座;风盏;连钱草;大铜钱七;蜡烛扦草,味辛；苦；性微温。,活血通络；解毒消肿。主跌打损伤；筋骨疼痛；四肢麻木；半身不遂；面竣；黄疸；鼻渊；瘰疬；肿毒；黄水疮
豹骨,中药,为猫科动物金钱豹、云豹、雪豹的骨骼。1.Panthera pardus Linnaeus2.Neofelis mebulosa(Griffith)[Telis nebulosa Griffith]3.Uncia uncia Schreber[Panthera uncia Schreber;Felis uncia Schreber]。全年可捕，冬春较多。,参考原文,味辛；咸；性温。归肝；肾；脾经,祛风湿；强筋骨；镇惊安神。主风寒湿痹；筋骨疼痛；四肢拘挛麻木；腰膝酸楚；小儿惊风抽搐
暴马子,中药,为木犀科植物暴马丁香的树皮。Syringa reticulata （Bl.） Hara var·a－murensis（Rupr.）Pringle［S.amurensis Rupr.;S.reticulata（Bl．） Hara var．Mandshurica （Maxim．） Hara］。全年均可采，鲜用或晒干。,白丁香;棒棒木;荷花丁香,苦；辛；性微温。归肺经,宣肺化痰；止咳平喘；利水。主慢性支气管炎；哮喘；心脏性浮肿
